Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3539,22.00,456.00,220.00,465.00,11-1-0,0,12
2,469,20.00,490.00,230.00,560.00,10-2-0,0,12
3,67,20.00,318.00,250.00,754.00,10-2-0,0,12
4,4130,18.00,342.00,260.00,438.00,9-3-0,0,12
5,245,18.00,326.00,220.00,584.00,9-3-0,0,12
6,216,18.00,316.00,240.00,238.00,9-3-0,0,12
7,815,18.00,246.00,220.00,301.00,9-3-0,0,12
8,4294,18.00,198.00,390.00,370.00,9-3-0,0,12
9,453,18.00,178.00,390.00,204.00,9-3-0,0,12
10,68,15.00,276.00,210.00,395.00,7-4-1,0,12
11,1,14.00,322.00,180.00,364.00,7-5-0,0,12
12,2337,14.00,288.00,270.00,289.00,7-5-0,0,12
13,2960,14.00,228.00,240.00,455.00,7-5-0,0,12
14,4819,14.00,222.00,490.00,164.00,7-5-0,0,12
15,3632,14.00,156.00,250.00,230.00,7-5-0,0,12
16,2851,13.00,254.00,260.00,257.00,6-5-1,0,12
17,244,12.00,240.00,150.00,223.00,6-6-0,0,12
18,1188,12.00,202.00,230.00,259.00,6-6-0,0,12
19,288,12.00,180.00,140.00,229.00,6-6-0,0,12
20,4815,12.00,166.00,210.00,276.00,6-6-0,0,12
21,4758,11.00,170.00,240.00,285.00,5-6-1,0,12
22,3655,10.00,290.00,220.00,307.00,5-7-0,0,12
23,4737,10.00,208.00,280.00,149.00,5-7-0,0,12
24,4743,10.00,206.00,190.00,222.00,5-7-0,0,12
25,3548,10.00,196.00,190.00,346.00,5-7-0,0,12
26,4811,9.00,184.00,160.00,247.00,4-7-1,0,12
27,3302,8.00,324.00,240.00,299.00,4-8-0,0,12
28,4779,8.00,258.00,180.00,282.00,4-8-0,0,12
29,4377,8.00,252.00,210.00,327.00,4-8-0,0,12
30,2224,8.00,212.00,190.00,296.00,4-8-0,0,12
31,3619,8.00,208.00,230.00,383.00,4-8-0,0,12
32,2591,8.00,200.00,210.00,227.00,4-8-0,0,12
33,4044,8.00,170.00,170.00,213.00,4-8-0,0,12
34,4834,8.00,132.00,210.00,162.00,4-8-0,0,12
35,4851,8.00,126.00,230.00,220.00,4-8-0,0,12
36,4810,7.00,206.00,160.00,332.00,3-8-1,0,12
37,3398,7.00,110.00,100.00,160.00,3-8-1,0,12
38,217,6.00,216.00,130.00,366.00,3-9-0,0,12
39,519,6.00,188.00,220.00,233.00,3-9-0,0,12
40,226,6.00,154.00,130.00,291.00,3-9-0,0,12
