Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1023,20.00,280.00,547.00,160.00,520.00,10-2-0,0,12
2,1718,19.00,180.00,405.00,170.00,587.00,9-2-1,0,12
3,4810,18.00,220.00,286.00,130.00,642.00,9-3-0,0,12
4,494,18.00,140.00,371.00,200.00,311.00,9-3-0,0,12
5,818,16.00,230.00,238.00,60.00,353.00,8-4-0,0,12
6,1189,16.00,150.00,280.00,160.00,531.00,8-4-0,0,12
7,2851,16.00,140.00,270.00,50.00,409.00,8-4-0,0,12
8,815,16.00,120.00,260.00,110.00,342.00,8-4-0,0,12
9,123,16.00,100.00,286.00,30.00,528.00,8-4-0,0,12
10,4779,15.00,110.00,258.00,40.00,573.00,7-4-1,0,12
11,4130,14.00,190.00,371.00,140.00,547.00,7-5-0,0,12
12,3175,14.00,130.00,285.00,90.00,611.00,7-5-0,0,12
13,453,14.00,60.00,225.00,40.00,656.00,7-5-0,0,12
14,3619,14.00,40.00,250.00,40.00,439.00,7-5-0,0,12
15,4768,14.00,40.00,241.00,20.00,457.00,7-5-0,0,12
16,2673,13.00,120.00,221.00,70.00,400.00,6-5-1,0,12
17,3398,13.00,80.00,242.00,60.00,310.00,6-5-1,0,12
18,5065,13.00,40.00,186.00,70.00,614.00,6-5-1,0,12
19,910,12.00,240.00,221.00,110.00,360.00,6-6-0,0,12
20,2591,12.00,80.00,226.00,50.00,299.00,6-6-0,0,12
21,217,12.00,50.00,231.00,60.00,388.00,6-6-0,0,12
22,3096,12.00,30.00,195.00,50.00,516.00,6-6-0,0,12
23,302,11.00,200.00,326.00,30.00,343.00,5-6-1,0,12
24,5073,10.00,90.00,176.00,10.00,461.00,5-7-0,0,12
25,280,10.00,70.00,176.00,90.00,362.00,5-7-0,0,12
26,4507,10.00,50.00,195.00,100.00,486.00,5-7-0,0,12
27,4776,10.00,50.00,172.00,60.00,447.00,4-6-2,0,12
28,4758,10.00,30.00,176.00,50.00,392.00,5-7-0,0,12
29,5214,9.00,90.00,145.00,50.00,277.00,4-7-1,0,12
30,3667,8.00,70.00,262.00,40.00,237.00,4-8-0,0,12
31,1941,8.00,70.00,110.00,0,302.00,4-7-0,1,12
32,4815,8.00,20.00,245.00,20.00,273.00,4-8-0,0,12
33,2048,7.00,80.00,201.00,20.00,337.00,3-8-1,0,12
34,4851,7.00,70.00,232.00,80.00,371.00,3-8-1,0,12
35,5239,7.00,10.00,195.00,30.00,344.00,3-7-1,1,12
36,4811,6.00,70.00,181.00,30.00,266.00,3-9-0,0,12
37,5068,6.00,70.00,126.00,50.00,387.00,3-9-0,0,12
38,5225,6.00,40.00,170.00,50.00,331.00,3-9-0,0,12
39,3632,4.00,60.00,111.00,50.00,127.00,2-5-0,5,12
