Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1983,36.00,149.00,100.00,185.00,18,9-2-0,0,11
2,488,32.00,135.00,80.00,194.00,12,10-1-0,0,11
3,2898,28.00,119.00,60.00,95.00,12,8-3-0,0,11
4,2557,28.00,88.00,70.00,133.00,14,7-4-0,0,11
5,3812,28.00,46.00,60.00,68.00,14,7-4-0,0,11
6,753,27.00,98.00,70.00,27.00,10,8-2-1,0,11
7,2942,26.00,157.00,70.00,68.00,12,7-4-0,0,11
8,2412,26.00,99.00,70.00,77.00,12,7-4-0,0,11
9,3588,26.00,77.00,50.00,86.00,10,8-3-0,0,11
10,3223,25.00,53.00,60.00,54.00,14,5-5-1,0,11
11,4164,25.00,34.00,90.00,57.00,12,6-4-1,0,11
12,2811,24.00,131.00,110.00,56.00,8,8-3-0,0,11
13,2903,24.00,111.00,70.00,36.00,8,8-3-0,0,11
14,3393,24.00,86.00,70.00,49.00,8,8-3-0,0,11
15,2907,24.00,61.00,90.00,63.00,14,5-6-0,0,11
16,3826,24.00,40.00,50.00,50.00,12,6-5-0,0,11
17,3576,24.00,28.00,40.00,36.00,10,7-4-0,0,11
18,1425,22.00,95.00,60.00,71.00,8,7-4-0,0,11
19,4205,20.00,77.00,60.00,60.00,10,5-6-0,0,11
20,2635,20.00,72.00,70.00,46.00,12,4-7-0,0,11
21,1622,20.00,67.00,40.00,48.00,10,5-6-0,0,11
22,3219,20.00,64.00,50.00,88.00,10,5-6-0,0,11
23,4173,19.00,30.00,10.00,44.00,10,4-6-1,0,11
24,3238,18.00,78.00,100.00,70.00,6,6-5-0,0,11
25,2928,18.00,74.00,80.00,83.00,12,3-8-0,0,11
26,4089,18.00,74.00,70.00,50.00,8,5-6-0,0,11
27,1899,18.00,70.00,80.00,72.00,6,6-5-0,0,11
28,3218,18.00,40.00,20.00,57.00,8,5-6-0,0,11
29,3813,18.00,30.00,40.00,29.00,12,3-8-0,0,11
30,3574,17.00,22.00,40.00,42.00,6,5-5-1,0,11
31,2990,16.00,76.00,50.00,74.00,4,6-5-0,0,11
32,3876,16.00,76.00,10.00,41.00,8,4-7-0,0,11
33,1778,16.00,71.00,20.00,61.00,10,3-8-0,0,11
34,3049,16.00,70.00,20.00,38.00,6,5-6-0,0,11
35,2927,16.00,50.00,30.00,53.00,8,4-7-0,0,11
36,3801,16.00,32.00,60.00,108.00,6,5-6-0,0,11
37,3789,15.00,57.00,10.00,60.00,8,3-7-1,0,11
38,2906,14.00,65.00,40.00,57.00,2,6-5-0,0,11
39,2517,14.00,58.00,50.00,54.00,6,4-7-0,0,11
40,4030,14.00,46.00,50.00,43.00,8,3-8-0,0,11
41,4304,12.00,39.00,10.00,67.00,4,4-7-0,0,11
42,4038,12.00,33.00,20.00,47.00,6,3-8-0,0,11
43,4262,12.00,28.00,30.00,47.00,4,4-7-0,0,11
44,2411,10.00,74.00,30.00,50.00,2,4-7-0,0,11
45,585,10.00,34.00,20.00,40.00,6,2-9-0,0,11
46,4077,8.00,33.00,50.00,50.00,2,3-8-0,0,11
