Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,3472,20.00,310.00,306.00,130.00,231.00,10-1-0,0,11
2,3794,20.00,190.00,331.00,80.00,369.00,10-1-0,0,11
3,4400,20.00,160.00,217.00,60.00,230.00,10-1-0,0,11
4,4403,18.00,180.00,250.00,90.00,194.00,9-2-0,0,11
5,2283,16.00,190.00,285.00,300.00,204.00,8-3-0,0,11
6,3478,16.00,160.00,400.00,190.00,238.00,8-3-0,0,11
7,4775,13.00,200.00,236.00,90.00,240.00,6-4-1,0,11
8,4262,13.00,80.00,196.00,50.00,259.00,6-4-1,0,11
9,4673,13.00,60.00,160.00,90.00,118.00,6-4-1,0,11
10,4355,12.00,210.00,251.00,50.00,154.00,6-5-0,0,11
11,3158,12.00,200.00,267.00,120.00,152.00,6-5-0,0,11
12,4635,12.00,180.00,191.00,60.00,229.00,6-5-0,0,11
13,4820,12.00,140.00,187.00,30.00,201.00,6-5-0,0,11
14,5312,12.00,100.00,255.00,50.00,225.00,6-5-0,0,11
15,3526,12.00,80.00,317.00,80.00,300.00,6-5-0,0,11
16,4401,12.00,80.00,255.00,60.00,310.00,6-5-0,0,11
17,4735,12.00,80.00,222.00,40.00,138.00,6-5-0,0,11
18,5133,10.00,220.00,209.00,30.00,140.00,5-6-0,0,11
19,3933,10.00,150.00,194.00,70.00,225.00,5-6-0,0,11
20,5344,10.00,130.00,214.00,30.00,220.00,5-6-0,0,11
21,3522,10.00,100.00,155.00,80.00,236.00,5-5-0,1,11
22,4603,10.00,90.00,193.00,60.00,165.00,5-6-0,0,11
23,4746,10.00,70.00,180.00,110.00,129.00,5-6-0,0,11
24,4731,10.00,50.00,191.00,50.00,184.00,5-6-0,0,11
25,3354,10.00,50.00,152.00,70.00,145.00,5-6-0,0,11
26,3527,10.00,40.00,237.00,90.00,202.00,5-6-0,0,11
27,4842,8.00,70.00,246.00,50.00,115.00,4-7-0,0,11
28,3480,8.00,60.00,291.00,90.00,229.00,4-7-0,0,11
29,3510,8.00,50.00,191.00,60.00,133.00,4-7-0,0,11
30,4667,8.00,50.00,140.00,90.00,200.00,4-6-0,1,11
31,4977,8.00,30.00,220.00,70.00,192.00,4-7-0,0,11
32,5093,7.00,50.00,191.00,40.00,89.00,3-7-1,0,11
33,4723,7.00,50.00,146.00,90.00,189.00,3-7-1,0,11
34,4371,6.00,130.00,196.00,80.00,138.00,3-7-0,1,11
35,4010,5.00,50.00,162.00,50.00,28.00,2-8-1,0,11
36,4685,4.00,110.00,165.00,50.00,136.00,2-9-0,0,11
37,4742,4.00,60.00,144.00,40.00,10.00,2-6-0,3,11
38,4782,4.00,20.00,141.00,40.00,168.00,2-7-0,2,11
