Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2054,119.33,172,492,260,134,386,12
2,4391,108.75,34,416,320,251,284,12
3,74,105.58,4,484,200,185,394,12
4,66,95.5,10,428,240,157,328,12
5,5314,91.58,38,244,320,215,288,12
6,857,88.33,34,396,200,126,316,12
7,5505,85.5,48,308,240,224,212,12
8,5486,82.33,42,268,320,162,208,12
9,5213,81.41,8,264,320,157,234,12
10,2771,79.08,24,220,320,125,266,12
11,5692,78.5,14,168,320,230,216,12
12,5072,78.5,22,236,240,230,238,12
13,4392,78.16,28,296,240,116,270,12
14,5709,76.66,38,248,200,218,228,12
15,5547,76.25,4,236,280,147,260,12
16,5712,76.25,0,296,200,153,266,12
17,2586,74.83,8,216,300,150,236,12
18,5230,74.66,30,184,320,136,238,12
19,5574,72.58,12,212,260,159,234,12
20,3602,71.0,38,240,200,204,212,12
21,470,70.41,40,296,160,123,244,12
22,5702,70.08,4,308,160,155,220,12
23,1322,70.08,80,248,140,111,286,12
24,894,68.08,14,224,240,121,230,12
25,5706,67.75,30,220,260,108,218,12
26,1596,63.5,6,208,240,114,198,12
27,4827,63.16,22,152,320,102,168,12
28,5534,62.16,30,188,240,108,192,12
29,4970,61.58,12,188,200,115,238,12
30,4375,59.91,18,108,320,73,206,12
31,4995,59.66,44,128,260,104,180,12
32,4835,59.66,44,180,160,122,222,12
33,4715,58.41,24,136,280,93,186,12
34,4983,57.33,8,176,200,100,204,12
35,3617,56.25,28,132,200,80,246,12
36,5175,56.08,22,192,160,119,198,12
37,5014,55.33,16,176,120,138,238,12
38,3537,49.91,16,132,160,113,192,12
39,5223,49.91,8,152,160,113,166,12
40,5714,45.08,12,108,200,91,158,12
