Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1388,10,0,0,10,20.00,18.50
2,1678,9,1,0,10,18.00,22.40
3,1323,8,2,0,10,16.00,19.70
4,1868,8,2,0,10,16.00,15.00
5,1671,7,3,0,10,14.00,14.60
6,3859,7,2,0,9,14.00,13.30
7,701,7,3,0,10,14.00,12.40
8,1569,7,3,0,10,14.00,11.70
9,3250,7,3,0,10,14.00,11.20
10,1072,7,3,0,10,14.00,8.40
11,3013,7,3,0,10,14.00,8.10
12,2456,6,4,0,10,12.00,22.10
13,3456,6,4,0,10,12.00,15.30
14,114,6,4,0,10,12.00,14.70
15,852,6,4,0,10,12.00,12.90
16,2073,6,4,0,10,12.00,12.80
17,2551,6,4,0,10,12.00,10.90
18,1280,6,4,0,10,12.00,10.50
19,668,5,3,2,10,12.00,10.40
20,2733,6,4,0,10,12.00,9.40
21,100,5,3,2,10,12.00,8.40
22,2085,5,4,1,10,11.00,14.60
23,604,5,3,1,9,11.00,13.70
24,3296,5,4,1,10,11.00,7.70
25,2144,5,3,1,9,11.00,6.60
26,295,5,5,0,10,10.00,17.40
27,2761,5,5,0,10,10.00,13.10
28,766,5,5,0,10,10.00,12.10
29,3669,5,5,0,10,10.00,11.70
30,3598,5,5,0,10,10.00,10.40
31,3482,5,5,0,10,10.00,7.80
32,2156,5,2,0,7,10.00,4.40
33,2204,4,5,1,10,9.00,9.20
34,2390,4,5,1,10,9.00,8.70
35,3503,4,4,0,8,8.00,14.10
36,1159,4,5,0,9,8.00,8.90
37,1458,3,6,1,10,7.00,15.80
38,3189,3,6,1,10,7.00,6.40
39,3257,3,7,0,10,6.00,15.10
40,3256,3,7,0,10,6.00,13.10
41,3495,3,6,0,9,6.00,10.20
42,692,3,7,0,10,6.00,9.70
43,2035,2,5,2,9,6.00,6.90
44,3554,3,6,0,9,6.00,6.60
45,2489,3,6,0,9,6.00,5.90
46,3866,3,3,0,6,6.00,3.60
47,841,2,7,1,10,5.00,5.00
48,2473,2,6,1,9,5.00,2.60
49,675,1,6,2,9,4.00,11.80
50,1516,1,7,2,10,4.00,8.50
51,3615,1,5,1,7,3.00,8.10
52,1351,1,9,0,10,2.00,11.00
53,2141,1,8,0,9,2.00,1.70
