Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,5618,28.0,188.0,115.0,103.0,465.0,8-1-0,9
2,3990,26.0,181.0,170.0,209.0,445.0,8-1-0,9
3,3360,25.0,188.0,155.0,118.0,445.0,8-1-0,9
4,4947,21.0,192.0,105.0,131.0,400.0,7-2-0,9
5,5526,20.0,194.0,110.0,105.0,435.0,6-3-0,9
6,296,20.0,186.0,135.0,102.0,405.0,6-3-0,9
7,5910,20.0,162.0,95.0,131.0,435.0,6-3-0,9
8,3550,20.0,136.0,105.0,86.0,400.0,6-2-0,9
9,3544,20.0,130.0,90.0,65.0,375.0,7-2-0,9
10,4001,19.0,180.0,145.0,127.0,410.0,7-2-0,9
11,5440,18.0,168.0,85.0,139.0,425.0,5-4-0,9
12,5443,18.0,168.0,85.0,62.0,435.0,5-4-0,9
13,3158,18.0,164.0,95.0,95.0,360.0,6-3-0,9
14,2626,18.0,164.0,80.0,59.0,425.0,6-3-0,9
15,3996,18.0,148.0,115.0,127.0,410.0,6-3-0,9
16,5528,17.0,172.0,85.0,94.0,380.0,6-3-0,9
17,3981,17.0,168.0,90.0,46.0,440.0,5-4-0,9
18,4007,16.0,184.0,80.0,89.0,390.0,6-3-0,9
19,5179,16.0,176.0,70.0,75.0,400.0,5-4-0,9
20,3986,16.0,124.0,80.0,76.0,350.0,6-3-0,9
21,3117,15.0,164.0,90.0,77.0,410.0,4-5-0,9
22,5865,14.0,154.0,95.0,166.0,340.0,5-4-0,9
23,5553,14.0,152.0,105.0,103.0,385.0,5-4-0,9
24,4942,14.0,144.0,70.0,64.0,355.0,5-4-0,9
25,4957,14.0,142.0,120.0,87.0,375.0,5-4-0,9
26,3533,13.0,140.0,85.0,112.0,320.0,6-3-0,9
27,5095,13.0,125.0,90.0,80.0,345.0,5-4-0,9
28,6040,13.0,104.0,95.0,63.0,335.0,4-4-0,9
29,4526,12.0,156.0,90.0,127.0,375.0,4-5-0,9
30,4950,11.0,190.0,60.0,66.0,410.0,3-6-0,9
31,4952,11.0,144.0,100.0,69.0,360.0,3-6-0,9
32,3975,11.0,122.0,85.0,44.0,375.0,3-6-0,9
33,5570,11.0,114.0,70.0,53.0,280.0,3-5-0,9
34,5444,11.0,108.0,105.0,42.0,335.0,4-5-0,9
35,3386,10.0,178.0,30.0,140.0,345.0,4-5-0,9
36,5859,10.0,158.0,90.0,88.0,340.0,3-6-0,9
37,3387,10.0,118.0,70.0,82.0,305.0,4-5-0,9
38,3985,10.0,110.0,65.0,80.0,310.0,4-5-0,9
39,3988,9.0,200.0,75.0,46.0,420.0,2-7-0,9
40,4491,9.0,140.0,110.0,38.0,390.0,3-6-0,9
41,5439,9.0,134.0,60.0,49.0,355.0,3-6-0,9
42,4955,9.0,124.0,65.0,51.0,345.0,3-6-0,9
43,3969,8.0,120.0,60.0,90.0,330.0,2-7-0,9
44,3532,8.0,104.0,80.0,50.0,325.0,2-7-0,9
45,3382,8.0,98.0,60.0,51.0,280.0,3-5-0,9
46,3379,7.0,120.0,80.0,45.0,350.0,2-7-0,9
47,5952,6.0,102.0,85.0,58.0,310.0,2-7-0,9
48,5994,5.0,110.0,60.0,58.0,255.0,1-7-0,9
49,4594,5.0,85.0,65.0,55.0,295.0,1-8-0,9
50,1334,3.0,54.0,55.0,49.0,280.0,1-8-0,9
