Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,1114,27,243,120,416,380,7-0-0,0,7
2,3683,23,217,135,265,405,6-1-0,0,7
3,2056,21,267,130,373,390,6-1-0,0,7
4,2994,20,209,110,196,365,6-1-0,0,7
5,5406,19,141,80,230,355,5-2-0,0,7
6,1325,18,110,80,151,360,4-3-0,0,7
7,1241,17,178,110,156,365,5-2-0,0,7
8,4976,17,166,105,194,375,4-3-0,0,7
9,1360,17,158,75,161,370,4-3-0,0,7
10,4618,16,180,80,167,380,4-3-0,0,7
11,2604,15,183,80,175,395,3-4-0,0,7
12,6378,15,161,90,119,360,4-3-0,0,7
13,4939,15,138,80,134,350,4-3-0,0,7
14,1305,14,211,90,215,390,3-4-0,0,7
15,4914,14,179,90,182,360,4-3-0,0,7
16,1285,14,150,75,161,370,3-4-0,0,7
17,3161,13,198,90,166,410,3-4-0,0,7
18,4476,13,192,85,146,355,3-4-0,0,7
19,5921,13,158,90,152,340,4-3-0,0,7
20,4678,13,151,80,212,370,3-4-0,0,7
21,3560,12,152,85,141,355,3-4-0,0,7
22,865,11,166,95,177,370,2-5-0,0,7
23,2609,11,156,70,168,350,2-5-0,0,7
24,781,11,144,65,106,350,2-5-0,0,7
25,4932,10,196,80,160,370,2-5-0,0,7
26,1075,10,127,100,84,335,2-5-0,0,7
27,6342,9,216,65,174,360,2-5-0,0,7
28,4992,9,120,65,103,335,1-6-0,0,7
29,4343,9,120,55,98,335,2-5-0,0,7
30,2852,8,118,45,103,315,1-5-0,1,7
