Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,67,32.0,128.0,220.0,147.0,530.0,11-1-0,12
2,2137,27.0,218.0,115.0,126.0,580.0,8-3-1,12
3,3655,27.0,200.0,110.0,210.0,515.0,9-3-0,12
4,1718,27.0,170.0,125.0,119.0,540.0,9-2-1,12
5,1023,26.0,168.0,145.0,163.0,545.0,9-3-0,12
6,3667,25.0,176.0,130.0,97.0,540.0,8-3-1,12
7,2075,24.0,150.0,135.0,156.0,505.0,8-4-0,12
8,33,24.0,146.0,130.0,210.0,490.0,8-4-0,12
9,4810,23.0,94.0,155.0,130.0,455.0,7-5-0,12
10,51,22.0,164.0,120.0,115.0,525.0,6-6-0,12
11,5662,22.0,108.0,130.0,75.0,535.0,6-6-0,12
12,5860,21.0,128.0,125.0,115.0,540.0,5-6-1,12
13,308,20.0,172.0,100.0,73.0,515.0,6-6-0,12
14,3773,20.0,160.0,105.0,128.0,490.0,6-6-0,12
15,5048,20.0,154.0,90.0,110.0,525.0,6-6-0,12
16,5282,20.0,136.0,120.0,164.0,440.0,6-6-0,12
17,245,20.0,91.0,105.0,92.0,445.0,7-5-0,12
18,201,19.0,162.0,110.0,208.0,465.0,7-5-0,12
19,1250,19.0,141.0,110.0,169.0,440.0,6-5-1,12
20,5263,19.0,118.0,110.0,79.0,500.0,6-6-0,12
21,5650,19.0,78.0,100.0,42.0,475.0,5-7-0,12
22,5436,19.0,76.0,90.0,88.0,460.0,6-6-0,12
23,5066,18.0,152.0,120.0,106.0,505.0,6-5-1,12
24,5090,18.0,102.0,125.0,176.0,455.0,6-6-0,12
25,4779,17.0,184.0,115.0,106.0,500.0,6-6-0,12
26,5688,17.0,86.0,130.0,86.0,475.0,4-8-0,12
27,6117,16.0,84.0,140.0,115.0,475.0,4-8-0,12
28,5467,15.0,114.0,80.0,72.0,390.0,6-6-0,12
29,4003,14.0,174.0,125.0,119.0,440.0,5-7-0,12
30,5708,14.0,94.0,75.0,77.0,385.0,5-7-0,12
31,313,13.0,154.0,60.0,99.0,435.0,5-7-0,12
32,3302,12.0,110.0,120.0,56.0,390.0,4-8-0,12
33,4737,12.0,100.0,90.0,97.0,380.0,4-8-0,12
34,1189,12.0,98.0,130.0,144.0,430.0,4-8-0,12
35,5711,11.0,172.0,90.0,91.0,460.0,3-9-0,12
36,5193,11.0,101.0,65.0,45.0,340.0,3-6-0,12
37,6152,11.0,94.0,95.0,94.0,415.0,3-9-0,12
38,3098,11.0,88.0,100.0,104.0,385.0,4-8-0,12
39,2676,7.0,108.0,115.0,99.0,395.0,2-10-0,12
