Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1619,24.00,370.00,565.00,240.00,397.00,12-0-0,0,12
2,399,20.00,310.00,294.00,230.00,299.00,10-2-0,0,12
3,2122,20.00,260.00,496.00,260.00,497.00,10-2-0,0,12
4,662,20.00,200.00,342.00,130.00,469.00,10-2-0,0,12
5,3334,18.00,240.00,271.00,90.00,332.00,9-3-0,0,12
6,3230,18.00,230.00,375.00,130.00,342.00,9-3-0,0,12
7,1569,16.00,350.00,381.00,130.00,325.00,8-4-0,0,12
8,3288,16.00,260.00,420.00,160.00,265.00,8-4-0,0,12
9,2993,16.00,240.00,307.00,180.00,344.00,8-4-0,0,12
10,1410,16.00,190.00,252.00,160.00,251.00,8-4-0,0,12
11,3245,16.00,170.00,358.00,120.00,290.00,8-4-0,0,12
12,3243,16.00,60.00,262.00,60.00,187.00,8-4-0,0,12
13,4944,15.00,260.00,280.00,150.00,166.00,7-4-1,0,12
14,4334,14.00,180.00,326.00,180.00,403.00,7-5-0,0,12
15,3374,14.00,150.00,290.00,70.00,191.00,7-5-0,0,12
16,3241,13.00,200.00,270.00,110.00,259.00,6-5-1,0,12
17,2484,13.00,130.00,255.00,90.00,229.00,6-5-1,0,12
18,1700,12.00,170.00,335.00,100.00,514.00,6-6-0,0,12
19,3289,12.00,160.00,395.00,100.00,236.00,6-6-0,0,12
20,1566,12.00,150.00,220.00,110.00,493.00,6-6-0,0,12
21,2437,12.00,130.00,333.00,130.00,224.00,6-6-0,0,12
22,4310,12.00,100.00,235.00,110.00,348.00,6-6-0,0,12
23,2996,12.00,90.00,295.00,120.00,408.00,6-6-0,0,12
24,4598,12.00,70.00,280.00,30.00,402.00,6-6-0,0,12
25,1891,12.00,70.00,278.00,100.00,301.00,6-6-0,0,12
26,4175,12.00,60.00,397.00,100.00,230.00,6-6-0,0,12
27,159,11.00,100.00,276.00,90.00,172.00,5-6-1,0,12
28,3405,11.00,90.00,245.00,140.00,282.00,5-6-1,0,12
29,2594,10.00,160.00,266.00,130.00,247.00,5-7-0,0,12
30,3239,10.00,110.00,385.00,100.00,102.00,5-7-0,0,12
31,5071,10.00,110.00,282.00,40.00,182.00,5-7-0,0,12
32,3006,10.00,80.00,310.00,90.00,260.00,5-7-0,0,12
33,1339,10.00,80.00,271.00,140.00,281.00,5-7-0,0,12
34,2643,10.00,60.00,321.00,110.00,334.00,5-7-0,0,12
35,3669,9.00,110.00,421.00,80.00,433.00,4-7-1,0,12
36,5159,9.00,90.00,370.00,100.00,271.00,4-7-1,0,12
37,5346,9.00,90.00,269.00,140.00,244.00,4-7-1,0,12
38,3191,8.00,130.00,257.00,80.00,226.00,4-8-0,0,12
39,3251,8.00,90.00,257.00,70.00,248.00,4-8-0,0,12
40,5345,8.00,90.00,185.00,60.00,155.00,4-8-0,0,12
41,4268,8.00,60.00,206.00,60.00,155.00,4-8-0,0,12
42,4585,8.00,60.00,195.00,60.00,166.00,4-8-0,0,12
43,698,7.00,100.00,160.00,60.00,147.00,3-8-1,0,12
44,4178,7.00,90.00,337.00,90.00,138.00,3-8-1,0,12
45,4348,7.00,80.00,249.00,80.00,107.00,3-8-1,0,12
46,4251,6.00,120.00,170.00,80.00,219.00,3-9-0,0,12
47,3225,4.00,50.00,196.00,120.00,221.00,2-10-0,0,12
48,4106,3.00,90.00,227.00,60.00,190.00,1-10-1,0,12
