Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,2056,24.00,522.00,150.00,725.00,12-0-0,0,12
2,1114,23.00,340.00,220.00,675.00,11-0-1,0,12
3,4343,22.00,350.00,170.00,521.00,11-1-0,0,12
4,1547,21.00,232.00,210.00,303.00,10-1-1,0,12
5,1241,19.00,300.00,220.00,387.00,9-2-1,0,12
6,3541,18.00,116.00,130.00,283.00,9-3-0,0,12
7,2013,17.00,198.00,240.00,242.00,8-3-1,0,12
8,4001,15.00,310.00,170.00,272.00,7-4-1,0,12
9,4476,14.00,220.00,200.00,417.00,7-5-0,0,12
10,4718,14.00,178.00,150.00,253.00,7-5-0,0,12
11,3387,14.00,110.00,180.00,225.00,7-5-0,0,12
12,1075,13.00,132.00,150.00,168.00,6-5-1,0,12
13,4727,12.00,172.00,100.00,249.00,6-6-0,0,12
14,4015,12.00,170.00,90.00,267.00,6-6-0,0,12
15,2809,12.00,154.00,200.00,367.00,6-6-0,0,12
16,1325,12.00,130.00,90.00,229.00,6-6-0,0,12
17,2994,10.00,222.00,220.00,223.00,5-7-0,0,12
18,216,10.00,176.00,150.00,232.00,5-7-0,0,12
19,865,10.00,154.00,120.00,184.00,5-7-0,0,12
20,3550,10.00,122.00,80.00,194.00,5-7-0,0,12
21,3530,10.00,102.00,130.00,247.00,5-7-0,0,12
22,3985,9.00,260.00,190.00,219.00,4-7-1,0,12
23,288,9.00,184.00,110.00,216.00,4-7-1,0,12
24,2185,9.00,138.00,150.00,88.00,4-6-1,1,12
25,3386,8.00,160.00,160.00,246.00,4-8-0,0,12
26,4252,8.00,154.00,90.00,293.00,4-8-0,0,12
27,781,8.00,142.00,180.00,177.00,4-8-0,0,12
28,3543,8.00,112.00,110.00,233.00,4-8-0,0,12
29,4808,8.00,86.00,70.00,178.00,4-8-0,0,12
30,244,6.00,208.00,100.00,211.00,3-9-0,0,12
31,2852,6.00,190.00,120.00,333.00,3-9-0,0,12
32,3988,6.00,158.00,70.00,98.00,2-8-2,0,12
33,4685,6.00,72.00,40.00,149.00,3-9-0,0,12
34,4807,5.00,118.00,70.00,141.00,2-9-1,0,12
