Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,111,9,1,0,10,18,43.5
2,118,9,1,0,10,18,37.4
3,1987,8,2,0,10,16,35.3
4,1625,8,2,0,10,16,35
5,1732,8,2,0,10,16,33.9
6,2949,8,2,0,10,16,31.2
7,16,8,1,0,9,16,26.9
8,71,7,3,0,10,14,29.8
9,2338,7,3,0,10,14,29.4
10,2194,7,3,0,10,14,25.4
11,2041,7,2,0,9,14,21.3
12,45,7,3,0,10,14,18.6
13,3779,7,3,0,10,14,14.3
14,135,6,4,0,10,12,35
15,1675,6,4,0,10,12,16.6
16,3197,5,4,1,10,11,27
17,2171,5,4,1,10,11,18.5
18,2410,5,5,0,10,10,45.2
19,2358,5,5,0,10,10,32.8
20,2826,5,5,0,10,10,31.3
21,3494,5,5,0,10,10,29.1
22,2151,5,5,0,10,10,27.5
23,101,5,5,0,10,10,19
24,3612,5,4,0,9,10,16
25,3067,5,5,0,10,10,15.2
26,2704,5,4,0,9,10,13.4
27,2115,4,4,1,9,9,34.5
28,2769,4,5,1,10,9,16
29,3135,4,4,1,9,9,10.5
30,3695,4,6,0,10,8,14.5
31,2462,4,6,0,10,8,10.9
32,3646,3,5,1,9,7,20.8
33,3488,3,6,1,10,7,20.7
34,1781,3,6,1,10,7,18.7
35,3416,3,6,1,10,7,18.6
36,1739,3,6,1,10,7,13.6
37,3061,3,5,1,9,7,13
38,896,3,2,1,6,7,10.7
39,2781,2,5,3,10,7,9.6
40,2022,3,7,0,10,6,26.1
41,3352,3,7,0,10,6,19.1
42,1850,3,6,0,9,6,15
43,1091,3,6,0,9,6,10.8
44,2709,3,7,0,10,6,10.5
45,2432,2,2,1,5,5,12.5
46,1367,2,6,1,9,5,11.1
47,3177,2,2,0,4,4,2.6
48,2803,1,5,1,7,3,11.9
49,3595,1,8,0,9,2,15
50,3110,1,8,0,9,2,13.7
