Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,987,42.0,354.0,175.0,526.0,625.0,11-1-0,12
2,2468,33.0,254.0,125.0,374.0,610.0,9-3-0,12
3,4183,32.0,260.0,135.0,212.0,630.0,9-3-0,12
4,2493,31.0,254.0,160.0,174.0,625.0,10-2-0,12
5,3321,29.0,230.0,130.0,181.0,555.0,10-2-0,12
6,1538,28.0,250.0,210.0,367.0,560.0,9-3-0,12
7,968,27.0,268.0,165.0,200.0,600.0,7-5-0,12
8,1197,26.0,256.0,125.0,263.0,575.0,8-4-0,12
9,2403,26.0,232.0,150.0,205.0,585.0,8-4-0,12
10,4565,25.0,232.0,170.0,153.0,610.0,7-4-1,12
11,498,25.0,220.0,140.0,279.0,575.0,7-4-1,12
12,5475,25.0,186.0,135.0,136.0,555.0,7-5-0,12
13,2662,24.0,280.0,145.0,161.0,605.0,7-5-0,12
14,2647,24.0,266.0,145.0,112.0,600.0,7-5-0,12
15,3944,23.0,260.0,180.0,302.0,590.0,6-6-0,12
16,2478,23.0,234.0,185.0,206.0,540.0,7-4-1,12
17,1726,23.0,232.0,135.0,73.0,595.0,7-5-0,12
18,3853,21.0,238.0,170.0,208.0,535.0,6-6-0,12
19,4841,21.0,218.0,145.0,200.0,530.0,6-6-0,12
20,5465,21.0,200.0,155.0,85.0,605.0,5-7-0,12
21,2449,21.0,200.0,150.0,136.0,555.0,7-5-0,12
22,3019,20.0,270.0,185.0,155.0,555.0,7-5-0,12
23,1212,20.0,210.0,140.0,116.0,575.0,5-7-0,12
24,1165,19.0,262.0,150.0,150.0,580.0,4-8-0,12
25,4018,19.0,238.0,155.0,187.0,560.0,6-6-0,12
26,2375,18.0,270.0,130.0,153.0,570.0,5-7-0,12
27,1290,18.0,230.0,100.0,110.0,545.0,5-7-0,12
28,3187,18.0,226.0,135.0,163.0,580.0,5-7-0,12
29,4111,18.0,226.0,105.0,136.0,530.0,4-7-1,12
30,5101,18.0,188.0,130.0,137.0,500.0,5-6-1,12
31,3133,17.0,256.0,160.0,109.0,610.0,4-8-0,12
32,991,17.0,236.0,140.0,182.0,525.0,5-7-0,12
33,4146,17.0,216.0,170.0,152.0,540.0,4-7-1,12
34,2844,17.0,176.0,120.0,136.0,440.0,5-6-0,12
35,4496,17.0,174.0,125.0,105.0,510.0,4-8-0,12
36,1492,17.0,144.0,115.0,118.0,485.0,4-8-0,12
37,4160,16.0,288.0,150.0,121.0,570.0,4-8-0,12
38,5059,16.0,190.0,140.0,139.0,515.0,5-7-0,12
39,5539,15.0,128.0,95.0,137.0,455.0,4-8-0,12
40,5200,12.0,216.0,95.0,75.0,500.0,4-7-0,12
41,3048,12.0,210.0,115.0,154.0,485.0,2-10-0,12
42,2840,9.0,216.0,90.0,137.0,510.0,2-10-0,12
43,1633,8.0,142.0,75.0,75.0,435.0,2-10-0,12
