Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,107,24.00,240.00,532.00,320.00,672.00,12-0-0,0,12
2,862,20.00,360.00,363.00,130.00,761.00,10-2-0,0,12
3,2959,18.00,330.00,426.00,160.00,568.00,9-3-0,0,12
4,1023,18.00,310.00,600.00,210.00,524.00,9-3-0,0,12
5,2851,18.00,310.00,392.00,220.00,361.00,9-3-0,0,12
6,5213,16.00,250.00,255.00,110.00,317.00,8-4-0,0,12
7,3618,16.00,240.00,439.00,150.00,275.00,8-4-0,0,12
8,4391,16.00,200.00,411.00,200.00,445.00,8-4-0,0,12
9,66,14.00,270.00,375.00,210.00,331.00,7-5-0,0,12
10,4988,14.00,190.00,299.00,110.00,153.00,7-5-0,0,12
11,5230,14.00,180.00,256.00,100.00,340.00,7-5-0,0,12
12,4375,14.00,110.00,307.00,110.00,463.00,7-5-0,0,12
13,857,12.00,250.00,312.00,180.00,343.00,6-6-0,0,12
14,3641,12.00,240.00,357.00,190.00,424.00,6-6-0,0,12
15,1596,12.00,210.00,321.00,110.00,357.00,6-6-0,0,12
16,1711,12.00,210.00,317.00,60.00,430.00,6-6-0,0,12
17,3602,12.00,200.00,383.00,200.00,281.00,6-6-0,0,12
18,4715,12.00,150.00,241.00,130.00,426.00,6-6-0,0,12
19,4970,12.00,140.00,222.00,120.00,442.00,6-6-0,0,12
20,5183,12.00,100.00,267.00,90.00,405.00,6-6-0,0,12
21,4376,10.00,250.00,327.00,100.00,282.00,5-7-0,0,12
22,4827,10.00,180.00,312.00,110.00,490.00,5-7-0,0,12
23,5247,10.00,160.00,295.00,50.00,350.00,5-7-0,0,12
24,3537,10.00,150.00,296.00,140.00,256.00,5-7-0,0,12
25,4835,10.00,120.00,258.00,70.00,363.00,5-7-0,0,12
26,2153,10.00,70.00,254.00,90.00,610.00,5-7-0,0,12
27,4983,8.00,150.00,186.00,110.00,236.00,4-7-0,1,12
28,5314,8.00,130.00,298.00,140.00,343.00,4-8-0,0,12
29,5175,8.00,130.00,256.00,100.00,110.00,4-8-0,0,12
30,2586,8.00,120.00,281.00,140.00,420.00,4-8-0,0,12
31,4392,8.00,110.00,281.00,130.00,89.00,4-8-0,0,12
32,5110,8.00,110.00,257.00,60.00,489.00,4-8-0,0,12
33,4995,8.00,80.00,252.00,90.00,170.00,4-8-0,0,12
34,3617,6.00,180.00,314.00,60.00,263.00,3-9-0,0,12
35,5072,6.00,180.00,246.00,160.00,155.00,3-9-0,0,12
36,2246,6.00,140.00,280.00,120.00,213.00,3-9-0,0,12
