Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,180,18.00,246.00,200.00,565.00,9-1-0,0,10
2,86,18.00,210.00,240.00,288.00,9-1-0,0,10
3,386,16.00,220.00,170.00,313.00,8-2-0,0,10
4,1523,16.00,206.00,210.00,505.00,8-2-0,0,10
5,179,16.00,180.00,210.00,304.00,8-2-0,0,10
6,108,14.00,256.00,190.00,303.00,7-3-0,0,10
7,3932,14.00,230.00,180.00,288.00,7-3-0,0,10
8,744,14.00,212.00,200.00,341.00,7-3-0,0,10
9,2383,14.00,188.00,310.00,167.00,7-3-0,0,10
10,1065,14.00,184.00,100.00,374.00,7-3-0,0,10
11,1902,14.00,176.00,180.00,467.00,7-3-0,0,10
12,2797,14.00,120.00,130.00,234.00,7-3-0,0,10
13,4224,13.00,170.00,150.00,246.00,6-3-1,0,10
14,3502,13.00,140.00,170.00,238.00,6-3-1,0,10
15,415,12.00,168.00,200.00,332.00,6-4-0,0,10
16,3242,12.00,122.00,110.00,420.00,6-4-0,0,10
17,1251,12.00,110.00,160.00,264.00,6-4-0,0,10
18,4706,12.00,86.00,70.00,160.00,6-4-0,0,10
19,1683,11.00,126.00,170.00,324.00,5-4-1,0,10
20,168,11.00,104.00,160.00,182.00,5-4-1,0,10
21,3992,10.00,202.00,150.00,219.00,5-5-0,0,10
22,4592,10.00,184.00,210.00,283.00,5-5-0,0,10
23,2757,10.00,146.00,150.00,179.00,4-4-2,0,10
24,3472,10.00,110.00,180.00,149.00,5-5-0,0,10
25,59,9.00,170.00,130.00,192.00,4-5-1,0,10
26,4184,9.00,152.00,210.00,176.00,4-5-1,0,10
27,4707,9.00,148.00,170.00,292.00,4-5-1,0,10
28,3376,9.00,128.00,180.00,216.00,4-5-1,0,10
29,832,8.00,180.00,140.00,272.00,4-6-0,0,10
30,3653,8.00,140.00,190.00,222.00,4-6-0,0,10
31,1369,8.00,132.00,140.00,141.00,4-6-0,0,10
32,2152,8.00,116.00,160.00,169.00,4-6-0,0,10
33,3659,8.00,96.00,80.00,212.00,4-6-0,0,10
34,4013,8.00,84.00,160.00,253.00,4-6-0,0,10
35,21,7.00,164.00,220.00,180.00,3-6-1,0,10
36,141,6.00,284.00,180.00,135.00,3-7-0,0,10
37,4052,6.00,154.00,100.00,170.00,3-7-0,0,10
38,4321,6.00,132.00,130.00,149.00,3-7-0,0,10
39,2425,6.00,94.00,90.00,174.00,3-7-0,0,10
40,3938,6.00,68.00,50.00,154.00,3-4-0,3,10
41,2815,4.00,166.00,130.00,125.00,2-8-0,0,10
42,4262,4.00,126.00,120.00,92.00,2-8-0,0,10
43,665,4.00,82.00,120.00,126.00,2-8-0,0,10
44,4088,4.00,80.00,90.00,202.00,2-8-0,0,10
45,4471,1.00,164.00,150.00,133.00,0-9-1,0,10
46,4517,0,70.00,90.00,179.00,0-10-0,0,10
