Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,195,2.66,255,227,1699,85,6-0-0,0,6
2,181,2.57,270,206,1803,100,7-0-0,0,7
3,1768,2.16,230,216,1234,105,4-2-0,0,6
4,88,1.85,220,215,1287,85,5-2-0,0,7
5,2877,1.85,170,195,1193,65,6-1-0,0,7
6,157,1.71,230,168,1230,105,5-2-0,0,7
7,172,1.42,195,155,1267,85,4-3-0,0,7
8,4151,1.42,140,151,1232,40,4-3-0,0,7
9,1761,1.25,135,199,1252,100,2-6-0,0,8
10,2084,1.14,175,144,1122,120,3-4-0,0,7
11,6201,1.14,105,149,921,30,3-4-0,0,7
12,9999,1,145,135,1088,80,2-4-0,0,6
13,125,1,105,211,1350,60,2-5-0,0,7
14,2423,0.85,115,118,803,90,2-5-0,0,7
15,1965,0.85,50,116,948,45,2-5-0,0,7
16,5846,0.57,125,174,1084,50,1-6-0,0,7
17,9998,0.28,100,99,1085,60,1-6-0,0,7
