Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2522,99.0,0,476,40,320,364,12
2,948,81.58,160,308,40,203,280,12
3,360,78.58,0,404,0,249,314,12
4,3574,73.83,0,248,200,200,262,12
5,4469,72.0,0,344,40,218,268,12
6,1899,70.16,8,256,120,238,242,12
7,4461,69.33,4,256,200,164,232,12
8,5748,64.91,20,260,80,197,228,12
9,2929,64.83,20,196,40,164,364,12
10,2980,63.25,20,192,200,161,186,12
11,3393,61.25,20,256,80,135,268,12
12,1258,58.25,8,200,80,201,222,12
13,5588,57.83,0,220,80,188,224,12
14,1425,57.75,20,220,40,147,290,12
15,3221,56.16,20,248,40,136,242,12
16,5683,51.25,20,172,0,231,204,12
17,3781,51.16,20,184,120,92,204,12
18,2555,51.0,24,152,120,146,186,12
19,4060,50.66,8,196,0,178,226,12
20,2942,49.08,4,212,40,149,196,12
21,4304,48.66,20,168,0,186,246,12
22,3237,48.0,28,132,80,170,184,12
23,2927,45.16,4,164,0,130,262,12
24,2906,44.83,24,188,0,122,210,12
25,3786,42.91,20,120,40,161,174,12
26,3684,41.66,20,136,40,162,172,12
27,3219,40.66,20,108,80,116,176,12
28,3049,39.58,0,152,0,125,222,12
29,4579,38.66,0,112,80,94,184,12
30,4980,38.66,28,140,40,126,152,12
