Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2168,20.00,71.00,60.00,167.00,4,8-0-0,0,8
2,1230,18.00,58.00,100.00,102.00,2,8-0-0,0,8
3,1676,18.00,58.00,40.00,123.00,6,6-2-0,0,8
4,1279,18.00,42.00,80.00,94.00,6,6-2-0,0,8
5,369,17.00,81.00,50.00,61.00,6,5-2-1,0,8
6,2869,16.00,68.00,40.00,93.00,0,8-0-0,0,8
7,1796,16.00,64.00,60.00,80.00,4,6-2-0,0,8
8,263,15.00,52.00,10.00,39.00,4,5-2-1,0,8
9,1635,14.00,60.00,90.00,31.00,4,5-1-0,2,8
10,694,14.00,47.00,50.00,76.00,4,5-3-0,0,8
11,353,14.00,44.00,40.00,61.00,6,4-4-0,0,8
12,1155,14.00,34.00,50.00,74.00,4,5-3-0,0,8
13,329,13.00,44.00,40.00,65.00,2,5-2-1,0,8
14,333,13.00,30.00,20.00,46.00,4,4-3-1,0,8
15,846,12.00,64.00,30.00,85.00,0,6-2-0,0,8
16,3017,12.00,57.00,60.00,90.00,0,6-2-0,0,8
17,125,12.00,57.00,20.00,52.00,2,5-3-0,0,8
18,1600,12.00,35.00,20.00,76.00,2,5-3-0,0,8
19,870,12.00,14.00,90.00,35.00,4,4-4-0,0,8
20,395,11.00,44.00,50.00,72.00,2,4-3-1,0,8
21,195,11.00,42.00,20.00,105.00,4,3-4-1,0,8
22,4108,11.00,34.00,30.00,65.00,4,3-4-1,0,8
23,3645,11.00,24.00,10.00,49.00,2,4-2-1,1,8
24,2016,10.00,64.00,40.00,89.00,0,5-3-0,0,8
25,1660,10.00,53.00,30.00,69.00,4,3-5-0,0,8
26,1382,10.00,51.00,40.00,35.00,2,3-3-2,0,8
27,4122,10.00,48.00,30.00,57.00,2,4-4-0,0,8
28,3059,10.00,46.00,70.00,68.00,2,4-4-0,0,8
29,1860,10.00,34.00,10.00,42.00,2,4-4-0,0,8
30,371,10.00,33.00,50.00,51.00,0,5-3-0,0,8
31,3204,10.00,31.00,40.00,90.00,0,5-3-0,0,8
32,1396,10.00,28.00,10.00,42.00,4,3-5-0,0,8
33,354,10.00,27.00,40.00,84.00,0,5-3-0,0,8
34,2601,10.00,23.00,30.00,58.00,2,4-4-0,0,8
35,522,10.00,18.00,30.00,60.00,2,4-4-0,0,8
36,4191,10.00,10.00,30.00,61.00,2,4-4-0,0,8
37,759,9.00,53.00,30.00,27.00,2,3-4-1,0,8
38,3927,9.00,40.00,10.00,59.00,4,2-5-1,0,8
39,334,8.00,78.00,80.00,44.00,0,4-4-0,0,8
40,2265,8.00,60.00,80.00,74.00,0,4-4-0,0,8
41,2234,8.00,47.00,20.00,118.00,0,4-4-0,0,8
42,271,8.00,42.00,70.00,48.00,0,4-4-0,0,8
43,2933,8.00,35.00,30.00,35.00,4,2-3-0,3,8
44,270,8.00,32.00,30.00,50.00,0,4-3-0,1,8
45,3419,8.00,30.00,50.00,64.00,4,2-6-0,0,8
46,1340,8.00,24.00,40.00,24.00,4,2-6-0,0,8
47,3053,8.00,24.00,0,61.00,2,3-5-0,0,8
48,2895,8.00,16.00,10.00,37.00,4,2-5-0,1,8
49,4263,7.00,45.00,20.00,25.00,2,2-4-1,1,8
50,640,7.00,27.00,40.00,15.00,2,2-5-1,0,8
51,3308,7.00,24.00,30.00,26.00,2,2-5-1,0,8
52,1880,7.00,24.00,20.00,46.00,2,2-4-1,1,8
53,806,6.00,29.00,10.00,34.00,2,2-6-0,0,8
54,4299,6.00,24.00,20.00,33.00,2,2-4-0,2,8
55,1972,6.00,24.00,10.00,39.00,2,2-4-0,2,8
56,743,6.00,18.00,10.00,47.00,2,2-5-0,1,8
57,421,6.00,6.00,20.00,28.00,2,2-4-0,2,8
58,4012,5.00,29.00,30.00,45.00,2,1-6-1,0,8
59,3004,5.00,28.00,10.00,20.00,2,1-3-1,3,8
60,4071,5.00,16.00,10.00,17.00,2,1-4-1,2,8
61,4094,4.00,33.00,20.00,36.00,0,2-4-0,2,8
62,4383,4.00,12.00,20.00,24.00,0,2-4-0,2,8
63,2205,4.00,6.00,20.00,43.00,0,2-4-0,2,8
64,4023,4.00,6.00,0,0,2,1-1-0,6,8
65,2579,4.00,4.00,40.00,33.00,2,1-7-0,0,8
66,3760,3.00,18.00,20.00,45.00,0,1-5-1,1,8
