Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1114,29.00,170.00,50.00,191.00,11,9-1-0,0,10
2,610,28.00,97.00,70.00,133.00,12,8-2-0,0,10
3,2056,26.00,178.00,40.00,284.00,7,9-0-1,0,10
4,1815,25.00,89.00,10.00,59.00,13,6-4-0,0,10
5,781,22.00,97.00,50.00,81.00,8,7-3-0,0,10
6,1241,21.00,70.00,30.00,145.00,9,5-3-2,0,10
7,188,20.00,145.00,50.00,158.00,8,6-4-0,0,10
8,2852,20.00,143.00,80.00,111.00,4,8-2-0,0,10
9,2625,20.00,110.00,10.00,103.00,6,7-3-0,0,10
10,3387,20.00,45.00,40.00,68.00,10,4-4-2,0,10
11,907,19.00,126.00,50.00,98.00,7,6-4-0,0,10
12,2626,19.00,54.00,70.00,127.00,8,5-4-1,0,10
13,4334,18.00,122.00,70.00,107.00,12,3-7-0,0,10
14,1075,18.00,99.00,30.00,62.00,10,4-6-0,0,10
15,548,18.00,94.00,20.00,137.00,10,4-6-0,0,10
16,4307,18.00,48.00,20.00,63.00,11,3-6-1,0,10
17,2185,17.00,110.00,50.00,112.00,7,5-5-0,0,10
18,2809,17.00,53.00,10.00,131.00,6,5-3-1,1,10
19,4252,16.00,146.00,20.00,70.00,5,5-4-1,0,10
20,3705,16.00,82.00,10.00,110.00,7,4-5-1,0,10
21,1219,16.00,72.00,80.00,98.00,4,6-4-0,0,10
22,865,16.00,61.00,30.00,95.00,4,6-4-0,0,10
23,1547,15.00,110.00,30.00,67.00,7,4-6-0,0,10
24,3360,15.00,37.00,70.00,49.00,9,3-7-0,0,10
25,2198,14.00,94.00,10.00,78.00,8,3-7-0,0,10
26,1246,14.00,92.00,30.00,66.00,4,5-5-0,0,10
27,1404,14.00,89.00,60.00,83.00,6,4-6-0,0,10
28,4248,14.00,79.00,30.00,74.00,8,3-7-0,0,10
29,3550,14.00,68.00,10.00,92.00,6,4-6-0,0,10
30,3117,14.00,63.00,10.00,106.00,4,5-5-0,0,10
31,3985,14.00,60.00,10.00,94.00,5,4-5-1,0,10
32,2994,13.00,108.00,30.00,91.00,3,5-5-0,0,10
33,3386,12.00,120.00,10.00,94.00,7,2-7-1,0,10
34,1325,12.00,40.00,10.00,63.00,6,3-7-0,0,10
35,3988,11.00,53.00,10.00,53.00,5,3-7-0,0,10
36,1221,7.00,66.00,20.00,45.00,5,1-9-0,0,10
