Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,829,35.00,138.00,90.00,189.00,12,11-0-1,0,12
2,3487,34.00,104.00,160.00,81.00,12,11-1-0,0,12
3,3947,34.00,84.00,60.00,130.00,14,10-2-0,0,12
4,1756,31.00,91.00,90.00,148.00,13,9-3-0,0,12
5,1024,28.00,63.00,100.00,82.00,12,8-4-0,0,12
6,135,26.00,62.00,110.00,93.00,10,8-4-0,0,12
7,1501,25.00,92.00,90.00,93.00,10,7-4-1,0,12
8,4211,25.00,71.00,80.00,72.00,11,7-5-0,0,12
9,4272,24.00,111.00,50.00,87.00,10,7-5-0,0,12
10,3865,24.00,62.00,70.00,69.00,12,6-6-0,0,12
11,3565,23.00,47.00,40.00,99.00,9,7-5-0,0,12
12,1732,22.00,122.00,150.00,97.00,9,6-5-1,0,12
13,868,22.00,119.00,50.00,133.00,6,8-4-0,0,12
14,1747,22.00,115.00,100.00,89.00,6,8-4-0,0,12
15,2081,22.00,79.00,70.00,116.00,10,6-6-0,0,12
16,2197,22.00,29.00,30.00,55.00,14,4-8-0,0,12
17,3147,21.00,100.00,40.00,68.00,4,8-3-1,0,12
18,292,21.00,89.00,100.00,112.00,4,8-3-1,0,12
19,1760,20.00,101.00,20.00,76.00,10,4-6-2,0,12
20,4008,20.00,99.00,20.00,92.00,10,4-6-2,0,12
21,3940,20.00,78.00,20.00,121.00,10,5-7-0,0,12
22,4103,20.00,65.00,40.00,79.00,16,2-10-0,0,12
23,4234,19.00,60.00,60.00,70.00,10,4-7-1,0,12
24,2171,19.00,34.00,50.00,76.00,6,6-5-1,0,12
25,3559,18.00,97.00,80.00,54.00,5,6-5-1,0,12
26,234,18.00,78.00,20.00,149.00,6,6-6-0,0,12
27,461,18.00,73.00,70.00,112.00,8,5-7-0,0,12
28,4028,18.00,73.00,30.00,76.00,8,5-7-0,0,12
29,3176,18.00,53.00,20.00,110.00,10,4-8-0,0,12
30,2909,17.00,67.00,60.00,54.00,4,6-5-1,0,12
31,4058,17.00,52.00,30.00,82.00,10,3-8-1,0,12
32,1018,16.00,108.00,20.00,80.00,6,4-6-2,0,12
33,1646,16.00,106.00,50.00,50.00,8,4-8-0,0,12
34,2867,16.00,79.00,20.00,69.00,6,5-7-0,0,12
35,1720,16.00,54.00,40.00,53.00,10,3-9-0,0,12
36,1529,14.00,65.00,70.00,49.00,6,4-8-0,0,12
37,1741,14.00,45.00,30.00,77.00,8,2-8-2,0,12
38,3814,14.00,32.00,0,79.00,8,3-9-0,0,12
39,45,13.00,49.00,50.00,49.00,3,5-7-0,0,12
40,4070,12.00,20.00,60.00,43.00,8,2-10-0,0,12
