Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2056,9,0,0,9,18.00,24.88
2,1334,9,1,0,10,18.00,23.10
3,1305,7,2,0,9,14.00,20.00
4,2852,7,1,0,8,14.00,19.75
5,781,7,2,0,9,14.00,14.44
6,2809,6,3,0,9,12.00,32.88
7,610,6,2,0,8,12.00,28.22
8,1310,6,3,0,9,12.00,26.88
9,772,6,3,0,9,12.00,23.11
10,2386,6,4,0,10,12.00,21.80
11,3590,5,2,1,8,11.00,19.55
12,3664,5,3,1,9,11.00,19.33
13,3571,4,3,2,9,10.00,13.55
14,1835,4,4,1,9,9.00,12.22
15,1219,4,3,0,7,8.00,19.00
16,3161,4,5,0,9,8.00,13.88
17,3543,4,5,0,9,8.00,13.33
18,3739,4,5,0,9,8.00,11.11
19,2634,4,4,0,8,8.00,8.88
20,1846,3,5,1,9,7.00,10.11
21,3710,3,4,1,8,7.00,3.00
22,3550,3,6,0,9,6.00,17.00
23,3382,3,4,0,7,6.00,15.22
24,1325,3,6,0,9,6.00,13.90
25,3541,3,4,0,7,6.00,13.11
26,2935,3,4,0,7,6.00,10.00
27,865,3,5,0,8,6.00,2.11
28,1547,2,5,1,8,5.00,21.88
29,771,2,6,0,8,4.00,11.00
30,1221,2,5,0,7,4.00,9.88
31,3531,1,4,2,7,4.00,9.00
32,3533,2,5,0,7,4.00,5.77
33,854,1,5,1,7,3.00,11.66
34,2076,1,6,1,8,3.00,4.44
35,3387,1,5,0,6,2.00,10.12
