Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,4587,1.75,1980,500,960,600,220,6-2-0,0,8
2,4107,1.75,1866,410,940,750,1,7-1-0,0,8
3,3039,1.6200000000000001,2058,460,1040,700,38,6-2-0,0,8
4,3337,1.5,1705,350,920,650,0,6-2-0,0,8
5,456,1.3700000000000001,2052,589,1080,800,7,5-3-0,0,8
6,3616,1.3700000000000001,1884,415,940,750,49,5-3-0,0,8
7,1912,1.25,1755,350,840,750,0,5-3-0,0,8
8,6489,1.25,1358,214,760,450,8,5-3-0,0,8
9,3991,1.1200000000000001,1737,592,1120,500,12,4-4-0,0,8
10,5785,1.1200000000000001,1564,320,840,400,49,4-4-0,0,8
11,1927,1.1200000000000001,1487,410,820,500,62,4-4-0,0,8
12,2080,1,1882,402,1020,600,12,4-4-0,0,8
13,2992,1,1810,594,960,700,25,4-4-0,0,8
14,2183,1,1760,465,1000,650,0,4-4-0,0,8
15,5953,1,1536,290,820,600,1,4-4-0,0,8
16,3946,1,1526,155,820,550,26,4-4-0,0,8
17,4209,1,1336,220,760,450,26,4-4-0,0,8
18,5864,0.87,1667,355,840,650,62,3-5-0,0,8
19,4336,0.75,1246,220,720,400,1,3-5-0,0,8
20,5863,0.75,1195,220,720,350,0,3-5-0,0,8
21,5965,0.5,1361,255,860,400,1,2-6-0,0,8
22,3753,0.5,1305,364,800,350,25,2-6-0,0,8
23,2221,0.25,1515,205,840,550,0,1-7-0,0,8
24,4978,0.25,1238,285,820,250,38,1-7-0,0,8
