Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1310,18.00,170.00,335.00,210.00,585.00,9-1-0,0,10
2,610,16.00,230.00,480.00,250.00,589.00,8-3-0,0,11
3,1241,16.00,200.00,345.00,300.00,661.00,8-2-0,0,10
4,2935,14.00,260.00,337.00,150.00,553.00,7-4-0,0,11
5,2852,14.00,170.00,235.00,120.00,783.00,7-3-0,0,10
6,4946,12.00,160.00,296.00,140.00,322.00,6-4-0,0,10
7,746,12.00,110.00,181.00,20.00,495.00,6-4-0,0,10
8,4951,12.00,90.00,261.00,100.00,564.00,6-4-0,0,10
9,4343,12.00,90.00,256.00,140.00,457.00,6-5-0,0,11
10,865,12.00,80.00,208.00,120.00,499.00,6-4-0,0,10
11,4250,10.00,210.00,236.00,50.00,232.00,5-6-0,0,11
12,4308,10.00,140.00,222.00,90.00,379.00,5-5-0,0,10
13,907,10.00,110.00,215.00,70.00,478.00,5-5-0,0,10
14,3560,10.00,110.00,205.00,100.00,454.00,5-5-0,0,10
15,772,10.00,100.00,270.00,100.00,545.00,5-5-0,0,10
16,5091,10.00,100.00,202.00,80.00,349.00,5-5-0,0,10
17,1815,10.00,90.00,365.00,140.00,660.00,5-5-0,0,10
18,4716,10.00,90.00,213.00,90.00,483.00,5-5-0,0,10
19,4939,8.00,160.00,230.00,80.00,202.00,4-6-0,0,10
20,188,8.00,120.00,245.00,110.00,441.00,4-6-0,0,10
21,4914,8.00,110.00,351.00,100.00,592.00,4-6-0,0,10
22,4001,8.00,110.00,316.00,40.00,431.00,4-6-0,0,10
23,2185,8.00,100.00,232.00,50.00,564.00,4-7-0,0,11
24,5094,8.00,90.00,247.00,60.00,326.00,4-7-0,0,11
25,3705,8.00,80.00,245.00,50.00,401.00,4-6-0,0,10
26,3541,8.00,50.00,221.00,120.00,379.00,4-6-0,0,10
27,886,6.00,130.00,271.00,100.00,380.00,3-7-0,0,10
28,5076,6.00,110.00,185.00,40.00,284.00,3-7-0,0,10
29,5092,6.00,80.00,167.00,70.00,284.00,3-7-0,0,10
30,2634,6.00,10.00,147.00,30.00,548.00,3-7-0,0,10
