Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1023,36.00,127.00,60.00,207.00,12,12-0-0,0,12
2,51,34.00,134.00,60.00,168.00,18,8-4-0,0,12
3,326,34.00,80.00,70.00,130.00,16,9-3-0,0,12
4,314,32.00,111.00,80.00,119.00,16,8-4-0,0,12
5,469,30.00,121.00,40.00,231.00,8,11-1-0,0,12
6,2591,30.00,86.00,10.00,97.00,14,7-3-2,0,12
7,3538,28.00,59.00,90.00,93.00,12,8-4-0,0,12
8,217,27.00,93.00,50.00,86.00,14,6-5-1,0,12
9,3547,27.00,55.00,80.00,87.00,12,7-4-1,0,12
10,3115,24.00,39.00,20.00,60.00,10,7-4-0,1,12
11,815,23.00,63.00,60.00,100.00,8,7-4-1,0,12
12,2224,23.00,62.00,100.00,62.00,8,7-4-1,0,12
13,1189,23.00,52.00,40.00,68.00,10,6-4-1,1,12
14,1504,22.00,116.00,40.00,118.00,6,8-4-0,0,12
15,123,22.00,95.00,50.00,124.00,6,8-4-0,0,12
16,2960,20.00,88.00,20.00,116.00,10,5-7-0,0,12
17,2611,20.00,65.00,60.00,51.00,10,5-7-0,0,12
18,1701,20.00,59.00,70.00,58.00,12,4-8-0,0,12
19,3175,20.00,53.00,60.00,56.00,10,5-7-0,0,12
20,2832,20.00,52.00,50.00,55.00,8,5-5-2,0,12
21,201,19.00,110.00,30.00,115.00,6,6-5-1,0,12
22,453,19.00,106.00,60.00,74.00,10,4-6-1,1,12
23,2620,18.00,67.00,30.00,117.00,8,5-7-0,0,12
24,3002,18.00,65.00,30.00,38.00,6,6-3-0,3,12
25,519,18.00,61.00,40.00,78.00,6,6-5-0,1,12
26,280,18.00,56.00,70.00,87.00,6,6-6-0,0,12
27,3632,18.00,46.00,10.00,63.00,10,4-6-0,2,12
28,313,18.00,40.00,40.00,85.00,10,4-8-0,0,12
29,3096,18.00,38.00,40.00,77.00,12,3-9-0,0,12
30,818,17.00,73.00,20.00,44.00,12,2-9-1,0,12
31,3619,14.00,70.00,10.00,88.00,4,5-7-0,0,12
32,2676,14.00,57.00,10.00,80.00,8,3-9-0,0,12
33,2673,14.00,51.00,10.00,59.00,6,4-8-0,0,12
34,4380,14.00,40.00,20.00,75.00,8,3-4-0,5,12
35,322,13.00,40.00,40.00,47.00,6,3-4-1,4,12
36,3605,12.00,6.00,30.00,118.00,4,4-6-0,2,12
37,3769,10.00,62.00,30.00,34.00,4,3-8-0,1,12
38,94,10.00,57.00,20.00,65.00,0,5-7-0,0,12
39,3706,10.00,22.00,10.00,19.00,4,2-4-2,4,12
40,4002,8.00,36.00,20.00,50.00,2,3-3-0,6,12
