Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,1024,1.71,1740,285,820,800,20,6-1-0,0,7
2,3494,1.71,1617,278,740,750,7,6-1-0,0,7
3,6498,1.71,1611,341,760,750,6,6-1-0,0,7
4,1501,1.42,1670,358,840,700,20,5-2-0,0,7
5,3947,1.42,1539,233,720,650,29,5-2-0,0,7
6,868,1.28,1672,222,800,750,2,4-2-1,0,7
7,45,1.28,1603,228,840,650,3,4-2-1,0,7
8,4272,1.14,1621,355,840,650,26,4-3-0,0,7
9,1471,1.14,1595,165,660,800,5,4-3-0,0,7
10,3266,1.14,1584,353,840,600,9,4-3-0,0,7
11,1018,1.14,1453,350,840,500,13,4-3-0,0,7
12,3940,1.14,1446,249,760,500,76,4-3-0,0,7
13,234,1,1755,227,840,800,10,3-3-1,0,7
14,3176,1,1427,207,760,550,7,3-3-1,0,7
15,447,0.85,1615,287,780,700,20,3-4-0,0,7
16,4926,0.85,1455,350,760,550,20,3-4-0,0,7
17,5188,0.85,1295,155,740,450,0,3-4-0,0,7
18,461,0.85,1160,472,720,300,10,3-4-0,0,7
19,3180,0.71,1386,174,660,600,11,2-4-1,0,7
20,4485,0.57,1413,223,720,550,8,2-5-0,0,7
21,1741,0.57,1309,369,720,450,24,2-5-0,0,7
22,6721,0.57,1075,105,560,400,5,2-5-0,0,7
23,3487,0.42,1245,220,680,450,0,1-5-1,0,7
24,6956,0.28,1098,223,640,350,8,1-6-0,0,7
25,1529,,1129,174,620,350,19,0-7-0,0,7
