Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1114,20.00,460.00,533.00,270.00,902.00,10-0-0,0,10
2,3683,20.00,400.00,331.00,290.00,725.00,10-0-0,0,10
3,3710,16.00,220.00,276.00,210.00,306.00,8-2-0,0,10
4,1503,15.00,160.00,340.00,270.00,307.00,7-2-1,0,10
5,907,15.00,120.00,236.00,170.00,273.00,7-2-1,0,10
6,4476,14.00,280.00,302.00,180.00,535.00,7-3-0,0,10
7,2013,14.00,210.00,306.00,170.00,399.00,7-3-0,0,10
8,3988,14.00,110.00,276.00,100.00,491.00,7-3-0,0,10
9,1325,13.00,180.00,375.00,100.00,323.00,6-3-1,0,10
10,781,12.00,200.00,377.00,120.00,344.00,6-4-0,0,10
11,4825,12.00,190.00,455.00,150.00,507.00,6-4-0,0,10
12,5031,12.00,160.00,257.00,110.00,456.00,6-4-0,0,10
13,1285,12.00,150.00,280.00,160.00,478.00,6-4-0,0,10
14,1241,12.00,130.00,357.00,250.00,394.00,6-4-0,0,10
15,2609,12.00,120.00,281.00,160.00,371.00,6-4-0,0,10
16,4718,12.00,90.00,181.00,70.00,203.00,6-4-0,0,10
17,1075,12.00,80.00,226.00,150.00,391.00,6-4-0,0,10
18,2601,12.00,70.00,318.00,90.00,442.00,6-4-0,0,10
19,919,12.00,70.00,250.00,80.00,520.00,6-4-0,0,10
20,3360,11.00,90.00,344.00,150.00,412.00,5-4-1,0,10
21,2198,10.00,140.00,307.00,130.00,409.00,5-5-0,0,10
22,3550,10.00,130.00,206.00,100.00,481.00,5-5-0,0,10
23,244,10.00,120.00,215.00,100.00,420.00,5-5-0,0,10
24,4252,10.00,90.00,218.00,90.00,360.00,5-5-0,0,10
25,4783,10.00,70.00,180.00,120.00,199.00,5-5-0,0,10
26,5051,10.00,60.00,256.00,100.00,440.00,5-5-0,0,10
27,216,9.00,30.00,145.00,90.00,295.00,4-5-1,0,10
28,3386,8.00,150.00,327.00,190.00,424.00,4-6-0,0,10
29,3985,8.00,130.00,212.00,70.00,319.00,4-6-0,0,10
30,4618,8.00,110.00,221.00,140.00,134.00,4-6-0,0,10
31,746,8.00,100.00,237.00,80.00,286.00,4-6-0,0,10
32,1547,8.00,90.00,180.00,40.00,286.00,4-6-0,0,10
33,2994,8.00,80.00,270.00,120.00,234.00,4-6-0,0,10
34,1404,8.00,80.00,265.00,180.00,190.00,4-6-0,0,10
35,4727,8.00,60.00,196.00,130.00,284.00,4-6-0,0,10
36,5158,8.00,50.00,182.00,80.00,433.00,4-6-0,0,10
37,4627,8.00,40.00,231.00,50.00,232.00,4-6-0,0,10
38,4248,8.00,40.00,203.00,70.00,256.00,4-6-0,0,10
39,3173,7.00,100.00,191.00,90.00,321.00,3-6-1,0,10
40,3986,6.00,130.00,203.00,90.00,256.00,3-7-0,0,10
41,886,6.00,100.00,176.00,70.00,294.00,3-7-0,0,10
42,288,6.00,60.00,233.00,80.00,223.00,3-7-0,0,10
43,3161,6.00,50.00,255.00,20.00,383.00,3-7-0,0,10
44,5036,6.00,50.00,211.00,90.00,398.00,3-7-0,0,10
45,854,4.00,70.00,180.00,80.00,426.00,2-8-0,0,10
46,1219,4.00,50.00,215.00,100.00,205.00,2-8-0,0,10
47,1246,4.00,40.00,204.00,90.00,189.00,2-8-0,0,10
48,3387,2.00,110.00,176.00,70.00,214.00,1-9-0,0,10
