2014onto_f1m1,frc2198,frc4476,frc1285,frc3173,frc1241,frc3710,147,60
2014onto_f1m2,frc1285,frc4476,frc2198,frc1241,frc3173,frc3710,79,57
2014onto_qf1m1,frc3683,frc1114,frc4718,frc1325,frc2994,frc3161,165,65
2014onto_qf1m2,frc4718,frc3683,frc1114,frc2994,frc1325,frc3161,235,71
2014onto_qf2m1,frc907,frc3360,frc4627,frc2198,frc4476,frc1285,96,237
2014onto_qf2m2,frc907,frc3360,frc4627,frc4476,frc1285,frc2198,71,152
2014onto_qf3m1,frc1241,frc3173,frc3710,frc3988,frc781,frc3386,137,96
2014onto_qf3m2,frc1241,frc3710,frc3173,frc781,frc3988,frc3386,152,71
2014onto_qf4m1,frc3986,frc4618,frc1503,frc5031,frc4825,frc2013,151,116
2014onto_qf4m2,frc1503,frc4618,frc3986,frc2013,frc4825,frc5031,117,128
2014onto_qf4m3,frc1503,frc4618,frc3986,frc4825,frc5031,frc2013,187,127
2014onto_qm1,frc1219,frc2601,frc4727,frc781,frc907,frc1547,60,73
2014onto_qm10,frc907,frc1219,frc4476,frc4783,frc3985,frc3387,69,5
2014onto_qm11,frc1114,frc1285,frc1075,frc1241,frc5158,frc244,150,131
2014onto_qm12,frc3710,frc1503,frc3386,frc4825,frc2601,frc5051,153,61
2014onto_qm13,frc854,frc886,frc2994,frc4718,frc4627,frc216,50,62
2014onto_qm14,frc5031,frc3550,frc1246,frc1547,frc2013,frc5036,37,70
2014onto_qm15,frc4248,frc4727,frc3161,frc2609,frc3683,frc919,12,155
2014onto_qm16,frc3986,frc288,frc1325,frc4252,frc1404,frc3173,52,11
2014onto_qm17,frc907,frc4627,frc5051,frc4476,frc4718,frc5158,31,52
2014onto_qm18,frc3988,frc1075,frc1547,frc2198,frc3386,frc1114,16,261
2014onto_qm19,frc3985,frc3710,frc2013,frc3360,frc854,frc244,86,50
2014onto_qm2,frc4252,frc3387,frc5158,frc746,frc3550,frc886,22,142
2014onto_qm20,frc216,frc3173,frc288,frc1285,frc1219,frc3161,48,46
2014onto_qm21,frc3387,frc5031,frc3683,frc1404,frc4618,frc2601,151,12
2014onto_qm22,frc746,frc1246,frc3986,frc4825,frc2994,frc4727,67,85
2014onto_qm23,frc886,frc1325,frc4783,frc2609,frc3550,frc1241,61,131
2014onto_qm24,frc4252,frc919,frc4248,frc5036,frc781,frc1503,98,50
2014onto_qm25,frc3387,frc2013,frc854,frc2601,frc1075,frc3161,91,96
2014onto_qm26,frc1114,frc5031,frc3985,frc4727,frc746,frc216,228,13
2014onto_qm27,frc2994,frc4718,frc2198,frc1219,frc3710,frc5158,55,33
2014onto_qm28,frc781,frc3683,frc1325,frc3986,frc886,frc1547,170,33
2014onto_qm29,frc3550,frc919,frc244,frc4248,frc4476,frc3173,21,82
2014onto_qm3,frc3161,frc244,frc3986,frc4618,frc1241,frc4783,96,132
2014onto_qm30,frc1246,frc3386,frc5051,frc4783,frc1285,frc907,47,66
2014onto_qm31,frc4618,frc1503,frc4825,frc1404,frc2609,frc288,200,81
2014onto_qm32,frc1241,frc5036,frc4252,frc4627,frc3360,frc3988,58,105
2014onto_qm33,frc919,frc3985,frc216,frc3986,frc3710,frc3683,31,166
2014onto_qm34,frc5031,frc1547,frc5051,frc854,frc4718,frc3161,83,45
2014onto_qm35,frc886,frc907,frc2198,frc244,frc4248,frc1503,45,46
2014onto_qm36,frc1404,frc3360,frc1114,frc1246,frc1219,frc2609,195,10
