Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1718,20.00,990.00,675.00,400.00,418.00,10-2-0,0,12
2,2337,18.00,960.00,680.00,270.00,383.00,9-3-0,0,12
3,27,18.00,800.00,716.00,290.00,486.00,9-3-0,0,12
4,1918,18.00,700.00,780.00,310.00,534.00,9-3-0,0,12
5,3098,18.00,640.00,670.00,280.00,544.00,9-3-0,0,12
6,469,16.00,1060.00,700.00,320.00,586.00,8-4-0,0,12
7,1023,16.00,990.00,700.00,350.00,517.00,8-4-0,0,12
8,67,16.00,900.00,765.00,430.00,606.00,8-4-0,0,12
9,51,16.00,880.00,730.00,350.00,378.00,8-4-0,0,12
10,68,16.00,870.00,707.00,340.00,607.00,8-4-0,0,12
11,2137,16.00,820.00,635.00,310.00,404.00,8-4-0,0,12
12,910,16.00,690.00,666.00,270.00,249.00,8-4-0,0,12
13,33,16.00,670.00,670.00,300.00,295.00,8-4-0,0,12
14,4819,16.00,650.00,695.00,280.00,408.00,8-4-0,0,12
15,3539,14.00,970.00,720.00,370.00,404.00,7-5-0,0,12
16,314,14.00,850.00,645.00,340.00,523.00,7-5-0,0,12
17,4967,14.00,790.00,672.00,300.00,268.00,7-5-0,0,12
18,3641,14.00,770.00,705.00,270.00,259.00,7-5-0,0,12
19,2959,14.00,750.00,655.00,320.00,477.00,7-5-0,0,12
20,494,14.00,730.00,701.00,360.00,343.00,7-5-0,0,12
21,548,14.00,730.00,620.00,290.00,378.00,7-5-0,0,12
22,4362,14.00,720.00,760.00,350.00,593.00,7-5-0,0,12
23,2834,14.00,720.00,695.00,250.00,434.00,7-5-0,0,12
24,573,14.00,720.00,640.00,270.00,336.00,7-5-0,0,12
25,862,14.00,720.00,635.00,250.00,460.00,7-5-0,0,12
26,2619,14.00,650.00,711.00,220.00,313.00,7-5-0,0,12
27,74,14.00,610.00,670.00,360.00,414.00,7-5-0,0,12
28,4003,14.00,570.00,755.00,320.00,324.00,7-5-0,0,12
29,3618,14.00,500.00,755.00,290.00,328.00,7-5-0,0,12
30,245,12.00,920.00,675.00,300.00,402.00,6-6-0,0,12
31,3688,12.00,810.00,666.00,330.00,446.00,6-6-0,0,12
32,503,12.00,740.00,671.00,270.00,360.00,6-6-0,0,12
33,5162,12.00,660.00,720.00,210.00,470.00,6-6-0,0,12
34,3620,12.00,650.00,697.00,340.00,350.00,6-6-0,0,12
35,4988,12.00,650.00,694.00,260.00,315.00,6-6-0,0,12
36,2054,12.00,650.00,670.00,340.00,428.00,6-6-0,0,12
37,3604,12.00,620.00,656.00,200.00,215.00,6-6-0,0,12
38,1506,12.00,610.00,666.00,330.00,307.00,6-6-0,0,12
39,857,12.00,590.00,680.00,260.00,299.00,6-6-0,0,12
40,70,12.00,540.00,650.00,260.00,374.00,6-6-0,0,12
41,3667,12.00,500.00,647.00,320.00,283.00,6-6-0,0,12
42,1250,10.00,720.00,596.00,160.00,403.00,5-7-0,0,12
43,280,10.00,700.00,736.00,280.00,285.00,5-7-0,0,12
44,308,10.00,640.00,609.00,150.00,553.00,5-7-0,0,12
45,453,10.00,640.00,601.00,310.00,512.00,5-7-0,0,12
46,3602,10.00,610.00,750.00,330.00,337.00,5-7-0,0,12
47,4391,10.00,610.00,720.00,240.00,206.00,5-7-0,0,12
48,2474,10.00,610.00,610.00,210.00,448.00,5-7-0,0,12
49,1711,8.00,720.00,685.00,250.00,419.00,4-8-0,0,12
50,2960,8.00,700.00,670.00,240.00,432.00,4-8-0,0,12
51,107,8.00,690.00,636.00,390.00,530.00,4-8-0,0,12
52,5193,8.00,670.00,620.00,170.00,254.00,4-8-0,0,12
53,2851,8.00,620.00,720.00,270.00,258.00,4-8-0,0,12
54,815,8.00,610.00,676.00,220.00,291.00,4-8-0,0,12
55,4956,8.00,580.00,596.00,240.00,474.00,4-8-0,0,12
56,2604,8.00,370.00,555.00,190.00,286.00,4-8-0,0,12
57,3534,6.00,720.00,590.00,200.00,353.00,3-9-0,0,12
58,5053,6.00,630.00,535.00,120.00,286.00,3-9-0,0,12
59,2771,6.00,610.00,640.00,220.00,388.00,3-9-0,0,12
60,3548,6.00,590.00,641.00,190.00,310.00,3-9-0,0,12
61,1189,6.00,560.00,721.00,210.00,244.00,3-9-0,0,12
62,4779,6.00,530.00,655.00,260.00,500.00,3-9-0,0,12
63,3322,4.00,660.00,637.00,260.00,383.00,2-10-0,0,12
64,3175,4.00,430.00,565.00,170.00,332.00,2-10-0,0,12
