Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,4028,17,162,95,240,260,5-0-0,0,5
2,4145,17,134,85,204,250,4-1-0,0,5
3,5413,16,108,125,164,260,3-1-1,0,5
4,48,15,166,70,221,255,4-1-0,0,5
5,379,15,136,110,161,255,4-1-0,0,5
6,2252,15,130,75,179,230,4-1-0,0,5
7,128,13,118,100,111,245,4-1-0,0,5
8,5811,13,118,80,139,260,3-1-1,0,5
9,1038,13,116,115,127,260,3-2-0,0,5
10,3138,12,144,50,205,225,3-2-0,0,5
11,1014,11,116,85,151,265,2-3-0,0,5
12,144,10,116,95,131,255,2-3-0,0,5
13,4085,10,114,125,112,300,1-3-1,0,5
14,4283,10,110,105,102,250,3-2-0,0,5
15,3010,9,142,70,129,280,1-3-1,0,5
16,2603,9,132,95,96,270,2-3-0,0,5
17,1787,9,122,75,94,245,2-3-0,0,5
18,695,9,112,80,94,235,3-2-0,0,5
19,5146,8,88,70,60,220,2-2-1,0,5
20,1308,7,120,55,68,255,1-4-0,0,5
21,6027,6,134,80,68,255,1-3-1,0,5
22,4121,4,120,75,48,280,0-5-0,0,5
23,2172,2,132,60,38,230,0-5-0,0,5
24,4269,2,110,50,64,205,0-5-0,0,5
