Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,2137,35.0,327.0,180.0,211.0,700.0,10-2-0,12
2,5155,33.0,334.0,200.0,241.0,675.0,9-3-0,12
3,6098,32.0,315.0,205.0,168.0,705.0,10-1-1,12
4,5167,31.0,310.0,185.0,187.0,610.0,8-4-0,12
5,217,31.0,278.0,195.0,305.0,585.0,9-3-0,12
6,2604,30.0,263.0,185.0,144.0,610.0,8-4-0,12
7,5046,30.0,260.0,160.0,197.0,605.0,9-3-0,12
8,3534,30.0,209.0,265.0,179.0,565.0,8-4-0,12
9,5843,29.0,288.0,170.0,114.0,685.0,8-4-0,12
10,5048,29.0,267.0,190.0,133.0,620.0,9-3-0,12
11,3535,28.0,281.0,175.0,194.0,630.0,7-5-0,12
12,6020,28.0,270.0,190.0,124.0,630.0,8-4-0,12
13,5150,27.0,291.0,175.0,206.0,650.0,5-7-0,12
14,4779,26.0,318.0,160.0,173.0,635.0,6-6-0,12
15,4130,26.0,266.0,185.0,167.0,585.0,7-5-0,12
16,6085,25.0,262.0,150.0,114.0,650.0,7-5-0,12
17,1025,25.0,229.0,190.0,261.0,535.0,8-4-0,12
18,6090,24.0,295.0,170.0,126.0,645.0,6-6-0,12
19,4368,24.0,274.0,175.0,93.0,590.0,7-4-1,12
20,5436,24.0,261.0,185.0,168.0,590.0,7-5-0,12
21,4994,23.0,200.0,165.0,153.0,570.0,5-7-0,12
22,6093,21.0,293.0,150.0,136.0,635.0,5-7-0,12
23,5612,21.0,288.0,155.0,160.0,615.0,5-6-1,12
24,2851,21.0,261.0,150.0,161.0,570.0,5-7-0,12
25,3667,20.0,268.0,165.0,121.0,640.0,5-7-0,12
26,5784,20.0,255.0,160.0,113.0,570.0,6-6-0,12
27,6120,20.0,216.0,185.0,129.0,565.0,6-6-0,12
28,1,19.0,276.0,140.0,119.0,565.0,5-6-1,12
29,5926,19.0,246.0,225.0,66.0,590.0,5-7-0,12
30,5660,19.0,226.0,165.0,134.0,565.0,5-7-0,12
31,5860,18.0,239.0,145.0,116.0,615.0,3-9-0,12
32,6019,18.0,235.0,155.0,110.0,570.0,5-7-0,12
33,6108,17.0,204.0,140.0,89.0,520.0,4-8-0,12
34,5214,15.0,274.0,150.0,113.0,545.0,4-8-0,12
35,2145,15.0,234.0,140.0,75.0,575.0,4-8-0,12
36,5201,11.0,258.0,115.0,84.0,540.0,2-9-1,12
37,5156,11.0,250.0,120.0,84.0,545.0,2-10-0,12
38,6091,11.0,222.0,135.0,107.0,555.0,2-10-0,12
39,4998,10.0,214.0,115.0,75.0,520.0,1-10-1,12
40,5017,10.0,204.0,110.0,92.0,510.0,2-10-0,12
