Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,1952,16.00,258.00,160.00,268.00,8-1-0,0,9
2,4320,16.00,210.00,90.00,205.00,8-1-0,0,9
3,1573,14.00,202.00,160.00,207.00,7-2-0,0,9
4,2213,14.00,160.00,100.00,132.00,7-2-0,0,9
5,1574,14.00,152.00,100.00,330.00,7-2-0,0,9
6,4590,14.00,142.00,120.00,130.00,7-2-0,0,9
7,2231,14.00,140.00,120.00,153.00,7-2-0,0,9
8,3316,14.00,102.00,90.00,290.00,7-2-0,0,9
9,2630,12.00,194.00,70.00,324.00,6-3-0,0,9
10,3211,12.00,114.00,80.00,156.00,6-3-0,0,9
11,4661,12.00,104.00,90.00,294.00,6-3-0,0,9
12,1836,12.00,96.00,140.00,208.00,6-3-0,0,9
13,4708,10.00,152.00,70.00,139.00,5-4-0,0,9
14,1580,10.00,144.00,120.00,103.00,5-4-0,0,9
15,2212,10.00,124.00,90.00,163.00,5-4-0,0,9
16,3065,10.00,114.00,70.00,330.00,5-4-0,0,9
17,4319,10.00,106.00,110.00,87.00,5-4-0,0,9
18,1657,10.00,106.00,100.00,137.00,5-4-0,0,9
19,3075,10.00,104.00,90.00,241.00,5-4-0,0,9
20,1937,10.00,98.00,60.00,189.00,5-4-0,0,9
21,3835,10.00,96.00,60.00,199.00,5-4-0,0,9
22,3339,10.00,90.00,180.00,173.00,5-4-0,0,9
23,1949,10.00,76.00,110.00,200.00,5-4-0,0,9
24,2679,10.00,68.00,80.00,91.00,5-4-0,0,9
25,1690,8.00,160.00,50.00,183.00,4-5-0,0,9
26,4790,8.00,136.00,100.00,176.00,4-5-0,0,9
27,1576,8.00,134.00,40.00,153.00,4-5-0,0,9
28,4724,8.00,132.00,60.00,239.00,4-5-0,0,9
29,3087,8.00,110.00,60.00,134.00,4-5-0,0,9
30,4338,8.00,106.00,250.00,52.00,4-5-0,0,9
31,4744,8.00,106.00,100.00,200.00,4-5-0,0,9
32,4649,8.00,104.00,70.00,123.00,4-5-0,0,9
33,4794,8.00,90.00,60.00,103.00,4-5-0,0,9
34,1577,8.00,82.00,90.00,122.00,4-4-0,1,9
35,1943,8.00,82.00,70.00,85.00,4-5-0,0,9
36,1942,6.00,196.00,60.00,220.00,3-6-0,0,9
37,1944,6.00,138.00,60.00,119.00,3-6-0,0,9
38,2216,6.00,130.00,90.00,58.00,3-6-0,0,9
39,4757,6.00,108.00,70.00,90.00,3-6-0,0,9
40,2217,6.00,90.00,70.00,115.00,3-6-0,0,9
41,2230,6.00,74.00,60.00,60.00,3-6-0,0,9
42,1946,6.00,48.00,130.00,48.00,3-6-0,0,9
43,4586,4.00,118.00,60.00,121.00,2-7-0,0,9
44,3388,4.00,98.00,50.00,230.00,2-7-0,0,9
45,4784,4.00,80.00,20.00,142.00,2-6-0,1,9
46,4725,4.00,48.00,50.00,120.00,2-7-0,0,9
47,3368,2.00,68.00,20.00,89.00,1-6-0,2,9
48,3083,2.00,56.00,80.00,39.00,1-8-0,0,9
49,4406,2.00,34.00,100.00,46.00,1-8-0,0,9
