Rank,Team,RP,ParkClimb,Auto,Ownership,Vault,WinLossTie,DQ,Played
1,846,2.4285715,465,285,1592,115,6-1-0,0,7
2,1967,2.4285715,320,167,1622,175,6-1-0,0,7
3,670,2.4285715,255,206,1636,150,6-1-0,0,7
4,115,2.2857144,295,257,1483,140,5-2-0,0,7
5,649,2,245,230,1714,110,5-2-0,0,7
6,4159,2,245,196,1595,120,5-2-0,0,7
7,1868,2,215,229,1556,140,5-2-0,0,7
8,7308,2,215,169,1424,80,6-1-0,0,7
9,114,2,160,172,1647,95,6-1-0,0,7
10,1458,1.7142857,415,202,1454,155,4-3-0,0,7
11,2854,1.7142857,245,214,1700,110,5-2-0,0,7
12,4904,1.7142857,235,134,1391,95,5-2-0,0,7
13,668,1.7142857,215,237,1292,125,4-3-0,0,7
14,100,1.5714285,295,215,1401,105,4-3-0,0,7
15,2813,1.5714285,220,217,1211,90,3-4-0,0,7
16,751,1.5714285,215,157,1177,70,4-3-0,0,7
17,6418,1.5714285,205,147,1368,140,4-3-0,0,7
18,2643,1.4285715,260,181,1416,150,3-4-0,0,7
19,2473,1.4285715,110,142,1250,75,4-3-0,0,7
20,5104,1.2857143,215,157,1341,130,3-4-0,0,7
21,4765,1.1428572,210,167,1101,100,2-5-0,0,7
22,6174,1.1428572,195,182,1180,75,3-4-0,0,7
23,3045,1.1428572,185,139,909,110,3-4-0,0,7
24,6814,1.1428572,135,132,993,65,3-4-0,0,7
25,972,1,230,150,1196,85,2-5-0,0,7
26,199,1,160,166,1186,120,2-5-0,0,7
27,253,1,150,121,944,105,3-4-0,0,7
28,1351,0.85714287,230,177,1234,100,2-5-0,0,7
29,4990,0.85714287,230,176,967,100,1-6-0,0,7
30,2489,0.85714287,215,152,1099,110,2-5-0,0,7
31,4255,0.85714287,190,136,858,150,2-5-0,0,7
32,5430,0.85714287,140,112,978,60,2-5-0,0,7
33,6884,0.71428573,140,141,1033,35,2-5-0,0,7
34,6822,0.5714286,175,114,859,55,1-6-0,0,7
35,3501,0.5714286,170,134,1197,60,2-5-0,0,7
36,1700,0.42857143,195,115,758,110,1-6-0,0,7
