Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2481,37.00,189.00,80.00,180.00,19,9-2-0,0,11
2,48,32.00,145.00,50.00,168.00,18,7-4-0,0,11
3,967,32.00,105.00,110.00,175.00,16,8-3-0,0,11
4,2826,30.00,153.00,60.00,218.00,16,7-4-0,0,11
5,1716,30.00,148.00,70.00,110.00,16,7-4-0,0,11
6,1732,30.00,101.00,90.00,98.00,18,6-5-0,0,11
7,868,29.00,148.00,30.00,211.00,13,8-3-0,0,11
8,3418,28.00,174.00,60.00,116.00,8,10-1-0,0,11
9,4143,28.00,135.00,60.00,99.00,10,9-2-0,0,11
10,537,28.00,132.00,110.00,104.00,12,8-3-0,0,11
11,2169,26.00,155.00,10.00,317.00,10,8-3-0,0,11
12,167,26.00,118.00,70.00,110.00,10,8-3-0,0,11
13,1714,25.00,107.00,30.00,163.00,13,6-5-0,0,11
14,2062,24.00,188.00,80.00,81.00,10,7-4-0,0,11
15,2506,24.00,147.00,40.00,122.00,12,6-5-0,0,11
16,1259,24.00,141.00,20.00,153.00,12,6-5-0,0,11
17,2830,24.00,95.00,70.00,112.00,14,5-6-0,0,11
18,706,24.00,95.00,70.00,74.00,12,6-5-0,0,11
19,135,24.00,87.00,80.00,114.00,12,6-5-0,0,11
20,930,23.00,86.00,60.00,129.00,11,6-5-0,0,11
21,4247,22.00,100.00,80.00,106.00,12,5-6-0,0,11
22,3184,22.00,82.00,50.00,148.00,8,7-4-0,0,11
23,4174,22.00,58.00,40.00,89.00,12,5-6-0,0,11
24,1736,21.00,119.00,80.00,140.00,10,5-5-1,0,11
25,269,20.00,113.00,60.00,102.00,8,6-5-0,0,11
26,3381,19.00,89.00,60.00,114.00,9,5-6-0,0,11
27,1306,18.00,140.00,20.00,80.00,8,5-6-0,0,11
28,171,18.00,125.00,20.00,95.00,8,5-6-0,0,11
29,1675,18.00,124.00,30.00,105.00,8,5-6-0,0,11
30,3692,18.00,107.00,20.00,163.00,10,4-7-0,0,11
31,1091,18.00,87.00,30.00,121.00,6,6-5-0,0,11
32,2040,18.00,80.00,10.00,85.00,12,3-8-0,0,11
33,1652,18.00,38.00,10.00,63.00,10,4-7-0,0,11
34,3596,17.00,107.00,50.00,135.00,7,5-6-0,0,11
35,3352,17.00,94.00,40.00,77.00,7,5-6-0,0,11
36,93,17.00,75.00,80.00,99.00,6,5-5-1,0,11
37,2039,16.00,138.00,20.00,159.00,6,5-6-0,0,11
38,2202,16.00,121.00,40.00,141.00,7,4-6-1,0,11
39,4296,16.00,90.00,20.00,97.00,8,4-7-0,0,11
40,81,16.00,84.00,0,111.00,11,2-8-1,0,11
41,2077,16.00,56.00,30.00,102.00,6,5-6-0,0,11
42,2194,15.00,107.00,40.00,107.00,7,4-7-0,0,11
43,1864,15.00,76.00,20.00,103.00,8,3-7-1,0,11
44,4371,15.00,65.00,20.00,113.00,11,2-9-0,0,11
45,2115,14.00,88.00,30.00,65.00,8,3-8-0,0,11
46,3963,11.00,58.00,10.00,69.00,6,2-8-1,0,11
47,4095,10.00,70.00,30.00,57.00,4,3-8-0,0,11
48,3197,9.00,59.00,30.00,72.00,7,1-10-0,0,11
