Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,2836,148,200,0,416,310,124,0,7
2,999,138,280,20,316,216,136,0,7
3,195,129,80,0,456,284,101,0,7
4,2067,117,180,0,220,208,214,0,7
5,1099,117,240,0,224,220,143,0,7
6,173,116,280,6,236,192,98,0,7
7,175,112,240,8,276,210,55,0,7
8,228,112,200,0,284,230,74,0,7
9,1991,110,200,0,236,208,141,0,7
10,3525,106,160,20,216,212,140,0,7
11,155,102,260,8,216,146,88,0,7
12,1124,101,260,0,152,180,116,0,7
13,2064,99,200,10,220,182,82,0,7
14,2170,98,200,0,224,194,74,0,7
15,3555,98,200,0,236,158,106,0,7
16,1740,97,280,12,132,170,91,0,7
17,1071,96,200,6,228,176,65,0,7
18,3146,96,240,22,172,172,67,0,7
19,176,95,220,10,180,146,125,0,7
20,4055,95,200,0,200,164,111,0,7
21,177,90,200,0,192,154,101,0,7
22,230,89,240,46,108,132,103,0,7
23,558,87,160,12,188,144,106,0,7
24,3719,85,240,0,124,138,96,0,7
25,1699,80,200,20,120,146,86,0,7
26,5686,79,160,0,180,132,88,0,7
27,237,78,220,20,136,108,69,0,7
28,236,77,140,0,156,164,87,0,7
29,181,72,120,8,172,126,84,0,7
30,3654,60,120,0,132,112,62,0,7
