Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,399,7,0,0,7,14.00,45.14,98
2,207,6,1,0,7,12.00,54.14,91
3,1777,6,1,0,7,12.00,45.42,78
4,1158,6,1,0,7,12.00,42.42,104
5,1332,6,1,0,7,12.00,39.14,100
6,1584,6,1,0,7,12.00,37.14,62
7,1583,6,1,0,7,12.00,36.85,104
8,2711,5,2,0,7,10.00,40.85,93
9,2226,5,1,0,6,10.00,22.57,90
10,1939,4,3,0,7,8.00,48.28,92
11,1303,4,3,0,7,8.00,48.00,62
12,1619,4,3,0,7,8.00,47.85,76
13,233,4,3,0,7,8.00,47.71,104
14,1987,4,3,0,7,8.00,45.42,91
15,1361,4,3,0,7,8.00,44.57,80
16,2410,4,3,0,7,8.00,43.00,91
17,1348,4,3,0,7,8.00,41.28,92
18,1408,4,3,0,7,8.00,41.14,76
19,1552,4,3,0,7,8.00,38.57,98
20,2259,4,3,0,7,8.00,38.57,93
21,1977,4,3,0,7,8.00,38.57,62
22,159,4,3,0,7,8.00,34.85,81
23,1691,4,3,0,7,8.00,30.28,76
24,2400,3,4,0,7,6.00,49.57,74
25,1410,3,4,0,7,6.00,47.57,81
26,2164,3,4,0,7,6.00,47.14,93
27,2972,3,4,0,7,6.00,45.71,78
28,2240,3,4,0,7,6.00,43.14,90
29,1515,3,4,0,7,6.00,40.71,72
30,2996,3,4,0,7,6.00,40.57,64
31,1157,3,4,0,7,6.00,37.71,70
32,1339,3,4,0,7,6.00,35.42,91
33,2250,3,4,0,7,6.00,34.14,78
34,2859,3,4,0,7,6.00,34.00,92
35,1245,3,4,0,7,6.00,32.00,72
36,2036,3,4,0,7,6.00,26.00,62
37,2275,2,5,0,7,4.00,52.00,100
38,1789,2,5,0,7,4.00,42.57,64
39,662,2,5,0,7,4.00,41.71,98
40,1377,2,5,0,7,4.00,41.57,74
41,4,2,5,0,7,4.00,37.42,81
42,2083,2,5,0,7,4.00,37.42,68
43,1799,2,5,0,7,4.00,31.85,61
44,2261,2,5,0,7,4.00,30.85,52
45,2249,1,6,0,7,2.00,40.14,62
46,1357,1,6,0,7,2.00,38.57,70
47,2945,1,6,0,7,2.00,33.14,48
48,443,1,5,0,6,2.00,27.57,74
