Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,4613,2.9,860,429,2668,315,8-3-0,0,11
2,694,2.81,655,416,3063,310,11-0-0,0,11
3,1678,2.6,555,401,2489,275,8-2-0,0,10
4,6803,2.54,420,412,2886,365,9-2-0,0,11
5,359,2.45,650,355,2241,215,7-4-0,0,11
6,6907,2.45,290,318,2635,265,9-2-0,0,11
7,6394,2.4,315,338,2212,200,7-3-0,0,10
8,6997,2.27,505,345,2360,290,7-4-0,0,11
9,5839,2.27,425,337,2405,345,8-3-0,0,11
10,9105,2.2,415,325,2029,330,6-4-0,0,10
11,1506,2.18,595,396,2336,210,7-4-0,0,11
12,5451,2.18,585,341,2653,340,8-3-0,0,11
13,2834,2.09,465,367,2436,265,7-4-0,0,11
14,9084,2,490,304,2129,290,6-5-0,0,11
15,6487,1.9,440,276,2424,220,8-3-0,0,11
16,2826,1.81,510,267,2006,335,6-5-0,0,11
17,7280,1.81,415,385,2303,305,5-6-0,0,11
18,5515,1.72,485,315,2135,400,6-5-0,0,11
19,6940,1.72,305,276,1838,195,6-5-0,0,11
20,9106,1.7,420,199,1945,320,6-4-0,0,10
21,5823,1.63,440,275,1994,265,5-6-0,0,11
22,1595,1.63,405,290,2138,240,6-5-0,0,11
23,5445,1.63,345,244,2137,290,7-4-0,0,11
24,6827,1.63,330,278,1946,245,5-6-0,0,11
25,9104,1.63,305,318,1716,280,5-6-0,0,11
26,66,1.54,555,344,1976,265,4-7-0,0,11
27,9108,1.54,495,281,1483,235,4-7-0,0,11
28,5308,1.54,440,280,2036,235,6-5-0,0,11
29,9109,1.54,435,286,1935,235,5-6-0,0,11
30,6970,1.54,415,304,2237,250,5-6-0,0,11
31,6433,1.54,380,282,1883,325,5-6-0,0,11
32,7002,1.45,365,316,2016,225,5-6-0,0,11
33,5453,1.45,340,273,2128,275,6-5-0,0,11
34,6353,1.3,330,198,1729,230,4-6-0,0,10
35,6991,1.27,300,263,1616,180,4-7-0,0,11
36,9107,1.27,295,304,2078,215,4-7-0,0,11
37,9103,1.2,340,198,1412,205,4-6-0,0,10
38,5522,1.2,275,291,1589,185,4-6-0,0,10
39,6374,1.2,200,233,1743,165,4-6-0,0,10
40,9102,1.18,320,215,1596,215,4-7-0,0,11
41,6986,1.1,310,178,1214,175,4-6-0,0,10
42,5516,1,410,228,1486,205,4-7-0,0,11
43,6393,1,315,250,1469,175,4-7-0,0,11
44,9110,1,275,235,1657,135,4-6-0,0,10
45,9059,1,255,221,1414,180,3-8-0,0,11
46,6392,1,210,219,1565,245,3-8-0,0,11
47,6949,0.9,390,241,2023,390,5-6-0,0,11
48,7238,0.9,315,233,1631,305,3-8-0,0,11
49,6941,0.81,260,250,1692,180,3-8-0,0,11
50,5306,0.8,195,194,1365,140,3-7-0,0,10
51,6356,0.63,270,216,1492,180,1-10-0,0,11
52,9101,0.5,295,201,1296,180,2-8-0,0,10
