Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,2834,2.6,815,529,3690,355,12-3-0,0,15
2,1718,2.26,825,492,3371,390,11-4-0,0,15
3,27,2.26,780,563,3779,385,11-4-0,0,15
4,3641,2.13,595,503,3317,375,10-5-0,0,15
5,3538,2.06,825,504,3641,360,12-3-0,0,15
6,9988,2,745,429,3121,365,11-4-0,0,15
7,3668,1.93,705,488,3359,380,8-7-0,0,15
8,68,1.73,770,483,2961,340,7-8-0,0,15
9,226,1.73,640,413,2948,330,8-7-0,0,15
10,548,1.66,745,425,3228,370,8-7-0,0,15
11,51,1.66,665,447,3064,415,8-7-0,0,15
12,4384,1.66,615,508,3083,380,6-9-0,0,15
13,5530,1.6,695,435,2778,325,7-8-0,0,15
14,4395,1.6,600,394,2704,400,8-7-0,0,15
15,818,1.53,625,440,3007,360,7-8-0,0,15
16,1504,1.53,580,454,2761,375,7-8-0,0,15
17,4130,1.4,770,427,2893,295,6-9-0,0,15
18,3414,1.33,680,367,2806,435,6-9-0,0,15
19,5577,1.26,480,376,2452,275,5-10-0,0,15
20,240,1.2,505,341,2658,205,7-8-0,0,15
21,3322,1,740,348,2319,390,3-12-0,0,15
22,1528,1,515,373,2290,250,3-12-0,0,15
23,9999,0.8,605,293,2457,290,6-9-0,0,15
24,9990,0.6,560,336,2302,265,3-12-0,0,15
