Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,118,143,200,140,632,370,83,0,10
2,624,135,120,140,532,402,148,0,10
3,1296,128,120,0,564,474,131,0,10
4,2881,101,80,20,480,390,59,0,10
5,3481,99,160,0,412,294,108,0,10
6,3847,90,40,20,444,330,59,0,10
7,2468,89,80,40,360,330,79,0,10
8,6587,85,80,20,368,318,60,0,10
9,2587,84,120,20,348,270,77,0,10
10,2789,83,200,20,292,254,68,0,10
11,1477,82,80,20,380,304,49,0,10
12,3310,82,40,0,396,326,52,0,10
13,1817,80,200,0,264,266,75,0,10
14,3997,75,80,40,296,272,71,0,10
15,1255,74,160,20,172,242,115,0,10
16,647,74,160,20,320,198,67,0,10
17,457,73,200,20,256,192,47,0,10
18,2583,73,160,40,256,214,62,0,10
19,2950,70,80,20,252,290,38,0,10
20,418,68,40,40,300,234,68,0,10
21,4587,66,120,40,232,240,36,0,10
22,2158,64,120,40,224,210,68,0,10
23,4335,63,120,20,224,222,46,0,10
24,3005,59,120,0,228,208,48,0,10
25,4610,58,40,0,248,214,87,0,10
26,3735,57,80,0,196,276,27,0,10
27,5052,55,80,20,228,200,48,0,10
28,3999,55,40,20,192,272,38,0,10
