Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1218,30.00,125.00,40.00,255.00,14,8-1-0,0,9
2,836,29.00,123.00,70.00,158.00,13,8-1-0,0,9
3,467,28.00,112.00,50.00,101.00,14,7-2-0,0,9
4,620,26.00,141.00,30.00,176.00,12,7-2-0,0,9
5,1719,26.00,107.00,50.00,111.00,14,6-3-0,0,9
6,116,25.00,54.00,80.00,83.00,12,6-2-1,0,9
7,639,24.00,100.00,90.00,54.00,12,6-3-0,0,9
8,2849,23.00,110.00,80.00,68.00,10,6-2-1,0,9
9,1731,23.00,85.00,80.00,109.00,11,6-3-0,0,9
10,357,22.00,143.00,30.00,137.00,10,6-3-0,0,9
11,1646,22.00,135.00,20.00,109.00,8,7-2-0,0,9
12,174,21.00,105.00,40.00,144.00,5,8-1-0,0,9
13,449,21.00,100.00,50.00,82.00,9,6-3-0,0,9
14,2900,21.00,65.00,20.00,99.00,12,4-4-1,0,9
15,461,20.00,121.00,50.00,44.00,8,6-3-0,0,9
16,3123,20.00,63.00,80.00,113.00,10,5-4-0,0,9
17,134,19.00,106.00,20.00,102.00,8,5-3-1,0,9
18,612,19.00,96.00,70.00,131.00,8,5-3-1,0,9
19,1418,19.00,92.00,70.00,86.00,7,6-3-0,0,9
20,2579,18.00,95.00,80.00,59.00,6,6-3-0,0,9
21,2537,18.00,82.00,50.00,67.00,6,6-3-0,0,9
22,4083,18.00,75.00,80.00,70.00,6,6-3-0,0,9
23,2914,18.00,36.00,80.00,81.00,8,5-4-0,0,9
24,2964,17.00,93.00,50.00,49.00,8,4-3-1,1,9
25,623,16.00,129.00,60.00,114.00,4,6-3-0,0,9
26,1747,16.00,110.00,30.00,98.00,6,5-4-0,0,9
27,888,16.00,95.00,20.00,151.00,4,6-3-0,0,9
28,53,16.00,81.00,80.00,70.00,6,5-4-0,0,9
29,2912,16.00,77.00,60.00,72.00,6,5-4-0,0,9
30,3558,16.00,40.00,30.00,48.00,14,1-8-0,0,9
31,1849,16.00,34.00,30.00,61.00,8,4-5-0,0,9
32,1885,15.00,85.00,30.00,103.00,9,3-6-0,0,9
33,2121,15.00,78.00,10.00,136.00,5,5-4-0,0,9
34,4137,15.00,54.00,20.00,46.00,10,2-6-1,0,9
35,2534,14.00,109.00,40.00,65.00,6,4-5-0,0,9
36,346,14.00,98.00,20.00,144.00,4,5-4-0,0,9
37,4288,14.00,97.00,10.00,72.00,6,4-5-0,0,9
38,2377,14.00,88.00,70.00,100.00,4,5-4-0,0,9
39,4266,14.00,85.00,10.00,61.00,10,2-7-0,0,9
40,2911,14.00,76.00,30.00,47.00,6,4-5-0,0,9
41,4099,14.00,73.00,80.00,64.00,4,5-4-0,0,9
42,87,14.00,33.00,70.00,64.00,6,3-4-2,0,9
43,1389,13.00,89.00,40.00,88.00,5,4-5-0,0,9
44,709,13.00,81.00,60.00,97.00,6,3-5-1,0,9
45,619,13.00,46.00,40.00,56.00,7,3-6-0,0,9
46,4067,13.00,38.00,60.00,87.00,8,2-6-1,0,9
47,1522,12.00,79.00,40.00,126.00,4,4-5-0,0,9
48,611,12.00,71.00,30.00,56.00,4,4-5-0,0,9
49,3793,12.00,61.00,40.00,72.00,6,3-6-0,0,9
50,1123,12.00,56.00,30.00,51.00,10,1-8-0,0,9
51,2421,12.00,36.00,30.00,84.00,8,2-7-0,0,9
52,2961,12.00,18.00,10.00,59.00,10,1-6-0,2,9
53,1915,11.00,48.00,30.00,62.00,6,2-6-1,0,9
54,141,10.00,90.00,20.00,63.00,6,2-7-0,0,9
55,3373,10.00,87.00,30.00,85.00,2,4-5-0,0,9
56,395,10.00,78.00,60.00,42.00,4,3-6-0,0,9
57,2963,10.00,66.00,40.00,53.00,6,2-7-0,0,9
58,614,10.00,60.00,50.00,71.00,4,3-6-0,0,9
59,768,10.00,53.00,70.00,62.00,4,3-6-0,0,9
60,3279,10.00,48.00,40.00,35.00,4,3-6-0,0,9
61,2962,10.00,40.00,30.00,56.00,2,4-4-0,1,9
62,4242,6.00,59.00,70.00,45.00,4,1-8-0,0,9
63,3455,6.00,40.00,40.00,77.00,2,2-7-0,0,9
