Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,195,22.00,270.00,516.00,260.00,410.00,11-1-0,0,12
2,228,20.00,210.00,478.00,140.00,530.00,10-2-0,0,12
3,78,20.00,140.00,560.00,190.00,315.00,10-2-0,0,12
4,2067,18.00,340.00,487.00,220.00,445.00,9-3-0,0,12
5,236,16.00,260.00,527.00,170.00,487.00,8-4-0,0,12
6,175,16.00,250.00,461.00,90.00,517.00,8-4-0,0,12
7,2168,16.00,210.00,376.00,170.00,420.00,8-4-0,0,12
8,237,14.00,320.00,372.00,160.00,635.00,7-5-0,0,12
9,181,14.00,260.00,457.00,180.00,461.00,7-5-0,0,12
10,1991,14.00,140.00,456.00,70.00,323.00,7-5-0,0,12
11,3718,14.00,130.00,352.00,130.00,325.00,7-5-0,0,12
12,558,12.00,340.00,477.00,170.00,258.00,6-6-0,0,12
13,2064,12.00,320.00,532.00,150.00,327.00,6-6-0,0,12
14,230,12.00,270.00,492.00,140.00,442.00,6-6-0,0,12
15,178,12.00,240.00,446.00,90.00,344.00,6-6-0,0,12
16,4055,12.00,210.00,368.00,150.00,224.00,6-6-0,0,12
17,5112,12.00,200.00,437.00,80.00,273.00,6-6-0,0,12
18,3654,10.00,280.00,397.00,210.00,311.00,5-7-0,0,12
19,125,10.00,270.00,376.00,130.00,163.00,5-7-0,0,12
20,4557,10.00,180.00,328.00,130.00,311.00,5-7-0,0,12
21,121,10.00,170.00,403.00,120.00,324.00,5-7-0,0,12
22,5142,10.00,170.00,387.00,140.00,381.00,5-7-0,0,12
23,1699,10.00,140.00,373.00,160.00,366.00,5-7-0,0,12
24,3555,10.00,100.00,326.00,90.00,255.00,5-6-0,1,12
25,2170,8.00,280.00,397.00,130.00,226.00,4-8-0,0,12
26,3719,8.00,270.00,318.00,100.00,152.00,4-8-0,0,12
27,1099,8.00,250.00,419.00,170.00,242.00,4-8-0,0,12
28,3182,8.00,230.00,358.00,120.00,261.00,4-8-0,0,12
29,1124,8.00,120.00,350.00,110.00,174.00,4-8-0,0,12
30,3634,8.00,50.00,316.00,90.00,419.00,4-8-0,0,12
31,155,8.00,50.00,276.00,90.00,225.00,4-8-0,0,12
32,571,6.00,90.00,291.00,80.00,242.00,3-9-0,0,12
33,2836,6.00,50.00,336.00,130.00,183.00,3-9-0,0,12
