Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,2363,28.0,180.0,130.0,68.0,560.0,9-3-0,12
2,1731,27.0,212.0,115.0,74.0,515.0,10-2-0,12
3,2534,27.0,178.0,155.0,26.0,525.0,10-2-0,12
4,623,27.0,66.0,145.0,50.0,480.0,10-2-0,12
5,1629,26.0,188.0,125.0,95.0,565.0,8-4-0,12
6,612,26.0,173.0,125.0,58.0,520.0,9-3-0,12
7,4505,26.0,160.0,140.0,72.0,510.0,9-3-0,12
8,888,23.0,142.0,140.0,58.0,485.0,7-5-0,12
9,3872,22.0,159.0,85.0,86.0,485.0,7-4-1,12
10,5587,22.0,158.0,110.0,48.0,450.0,8-4-0,12
11,1418,21.0,197.0,120.0,37.0,610.0,6-6-0,12
12,1719,21.0,124.0,130.0,27.0,525.0,6-5-1,12
13,4242,20.0,216.0,130.0,42.0,520.0,7-5-0,12
14,1895,20.0,202.0,105.0,49.0,500.0,7-5-0,12
15,2988,20.0,189.0,95.0,92.0,460.0,7-4-0,12
16,5338,19.0,180.0,105.0,33.0,495.0,7-5-0,12
17,2068,19.0,166.0,105.0,66.0,515.0,7-5-0,12
18,539,19.0,159.0,90.0,68.0,455.0,7-5-0,12
19,5243,18.0,156.0,105.0,18.0,430.0,6-5-0,12
20,2186,18.0,112.0,70.0,46.0,425.0,7-5-0,12
21,1123,17.0,160.0,95.0,17.0,395.0,6-4-0,12
22,3373,17.0,156.0,100.0,30.0,460.0,6-5-0,12
23,3455,17.0,154.0,130.0,43.0,440.0,6-5-0,12
24,1111,17.0,118.0,85.0,79.0,455.0,5-6-0,12
25,619,16.0,147.0,65.0,30.0,470.0,6-5-1,12
26,116,16.0,120.0,90.0,28.0,480.0,5-7-0,12
27,614,14.0,94.0,65.0,44.0,415.0,5-7-0,12
28,6236,13.0,166.0,75.0,30.0,405.0,5-5-0,12
29,4472,13.0,92.0,125.0,20.0,400.0,5-7-0,12
30,6189,13.0,92.0,100.0,20.0,395.0,4-6-0,12
31,620,10.0,150.0,65.0,18.0,355.0,3-7-0,12
32,2421,9.0,136.0,80.0,56.0,370.0,3-8-1,12
33,3274,9.0,116.0,70.0,24.0,395.0,3-9-0,12
34,4541,9.0,110.0,80.0,38.0,395.0,2-9-1,12
35,611,9.0,66.0,25.0,12.0,295.0,3-5-0,12
36,5549,8.0,80.0,75.0,16.0,365.0,2-9-0,12
37,5569,5.0,95.0,70.0,13.0,340.0,2-7-0,12
38,2911,5.0,34.0,30.0,4.0,170.0,1-3-0,12
39,4538,1.0,52.0,10.0,8.0,130.0,0-5-0,12
