Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,3339,90.5,4,396,160,103,260,10
2,1657,82.2,0,368,160,50,256,10
3,1574,79.5,0,336,120,89,262,10
4,2231,68.1,0,176,160,227,154,10
5,5038,65.4,0,244,200,70,164,10
6,1690,61.5,0,248,80,107,198,10
7,4320,61.0,0,236,120,96,182,10
8,5554,60.8,0,204,120,76,220,10
9,5291,60.1,24,176,160,123,136,10
10,2212,59.4,0,168,200,92,146,10
11,3065,58.7,0,156,160,159,154,10
12,4586,57.0,0,116,240,80,158,10
13,1577,56.9,0,236,160,49,172,10
14,1937,56.7,8,188,160,93,166,10
15,4784,55.8,0,120,200,112,156,10
16,1946,55.7,4,188,120,131,174,10
17,3388,52.8,0,180,160,52,160,10
18,2679,51.1,0,172,120,87,144,10
19,2213,49.5,0,144,80,139,138,10
20,3316,49.5,4,252,40,51,208,10
21,1944,49.4,4,132,160,102,138,10
22,4744,49.4,0,160,120,84,142,10
23,2630,49.4,0,148,80,90,188,10
24,2230,48.9,0,132,160,79,136,10
25,4406,48.3,0,172,80,87,162,10
26,1943,46.5,12,124,160,77,110,10
27,4319,46.5,0,144,160,61,118,10
28,1576,46.3,0,128,160,83,110,10
29,3211,44.3,0,152,40,145,130,10
30,3034,44.1,0,152,160,67,116,10
31,1942,43.5,8,112,200,53,98,10
32,3835,43.5,0,192,80,68,124,10
33,5670,43.1,4,156,40,103,170,10
34,1952,42.9,16,148,80,103,106,10
35,4757,42.1,0,148,80,63,160,10
36,1954,41.6,0,168,80,74,124,10
37,5715,41.3,4,164,40,127,144,10
38,3083,41.2,4,136,80,82,134,10
39,5635,39.7,0,144,80,41,144,10
40,3075,39.0,0,136,40,74,164,10
41,5614,38.9,0,116,80,85,126,10
42,4649,37.7,0,148,40,73,140,10
43,5135,34.8,8,64,120,92,112,10
44,4590,34.8,4,104,40,120,110,10
45,4712,34.5,0,84,120,50,114,10
46,4416,34.5,0,116,40,103,128,10
47,2216,34.1,0,100,40,125,124,10
48,5273,33.8,0,108,80,82,110,10
49,5654,32.8,0,136,0,90,108,10
50,1573,29.4,0,108,40,66,110,10
51,4661,28.2,0,80,0,108,112,10
52,1580,27.9,0,112,40,45,106,10
53,5636,25.9,0,68,40,53,134,10
54,5747,22.5,0,96,0,69,90,10
55,4338,22.2,0,108,0,57,92,10
