Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,1771,9,1,0,10,18.00,63.30
2,254,9,1,0,10,18.00,56.50
3,399,9,1,0,10,18.00,56.00
4,469,9,1,0,10,18.00,53.10
5,694,8,2,0,10,16.00,69.50
6,2337,8,2,0,10,16.00,68.90
7,2137,8,2,0,10,16.00,63.00
8,967,8,2,0,10,16.00,60.40
9,111,8,2,0,10,16.00,60.00
10,1114,8,2,0,10,16.00,58.30
11,1706,8,2,0,10,16.00,58.10
12,295,8,2,0,10,16.00,49.90
13,195,8,2,0,10,16.00,49.80
14,1056,7,3,0,10,14.00,56.70
15,40,7,3,0,10,14.00,49.30
16,1218,7,3,0,10,14.00,48.80
17,151,7,3,0,10,14.00,38.50
18,1714,6,4,0,10,12.00,69.40
19,935,6,4,0,10,12.00,65.30
20,1098,6,4,0,10,12.00,62.50
21,359,6,4,0,10,12.00,60.70
22,1334,6,4,0,10,12.00,60.00
23,610,6,4,0,10,12.00,59.50
24,70,6,4,0,10,12.00,58.70
25,973,6,4,0,10,12.00,57.40
26,230,6,4,0,10,12.00,57.20
27,1885,6,4,0,10,12.00,51.50
28,329,6,4,0,10,12.00,50.90
29,173,6,4,0,10,12.00,50.60
30,341,6,4,0,10,12.00,48.20
31,1305,5,5,0,10,10.00,68.60
32,1099,5,5,0,10,10.00,59.50
33,188,5,5,0,10,10.00,58.70
34,292,5,5,0,10,10.00,57.50
35,1429,5,5,0,10,10.00,54.60
36,3464,5,5,0,10,10.00,54.30
37,1266,5,5,0,10,10.00,53.70
38,294,5,4,0,9,10.00,53.30
39,1868,5,5,0,10,10.00,53.00
40,3574,5,5,0,10,10.00,52.20
41,1985,5,5,0,10,10.00,51.90
42,1086,5,5,0,10,10.00,50.20
43,48,5,5,0,10,10.00,50.20
44,1197,5,4,0,9,10.00,49.40
45,476,5,5,0,10,10.00,46.80
46,3397,5,5,0,10,10.00,46.50
47,1188,5,5,0,10,10.00,46.20
48,3504,5,5,0,10,10.00,43.20
49,3711,5,5,0,10,10.00,41.90
50,2073,5,5,0,10,10.00,40.80
51,1557,5,5,0,10,10.00,31.50
52,3393,4,6,0,10,8.00,60.80
53,1816,4,6,0,10,8.00,59.90
54,433,4,6,0,10,8.00,57.40
55,63,4,5,0,9,8.00,57.40
56,175,4,6,0,10,8.00,54.90
57,1425,4,6,0,10,8.00,53.90
58,1094,4,6,0,10,8.00,51.60
59,3824,4,6,0,10,8.00,50.00
60,3750,4,5,0,9,8.00,49.70
61,1212,4,6,0,10,8.00,49.50
62,3466,4,5,0,9,8.00,49.00
63,3487,4,6,0,10,8.00,47.30
64,2607,4,6,0,10,8.00,46.20
65,357,4,6,0,10,8.00,45.30
66,3132,4,6,0,10,8.00,40.30
67,1288,4,6,0,10,8.00,37.60
68,3528,4,5,0,9,8.00,30.30
69,548,3,6,0,9,6.00,73.20
70,93,3,7,0,10,6.00,59.40
71,395,3,7,0,10,6.00,55.50
72,1646,3,7,0,10,6.00,46.10
73,751,3,6,0,9,6.00,45.90
74,281,3,7,0,10,6.00,44.40
75,1444,3,6,0,9,6.00,42.10
76,1700,3,7,0,10,6.00,41.50
77,999,3,7,0,10,6.00,41.50
78,3645,3,7,0,10,6.00,41.10
79,159,3,7,0,10,6.00,41.10
80,3527,3,7,0,10,6.00,40.70
81,3588,2,8,0,10,4.00,53.60
82,2199,2,8,0,10,4.00,53.30
83,2472,2,8,0,10,4.00,46.00
84,3729,2,7,0,9,4.00,45.20
85,3526,2,7,0,9,4.00,42.30
86,884,1,9,0,10,2.00,48.00
87,1522,1,9,0,10,2.00,43.40
88,3374,1,8,0,9,2.00,28.70
