Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,358,9,2,0,11,18.00,18.90
2,177,9,2,0,11,18.00,17.18
3,3280,9,2,0,11,18.00,13.18
4,40,8,3,0,11,16.00,25.00
5,121,8,3,0,11,16.00,23.18
6,3125,8,3,0,11,16.00,20.45
7,228,8,3,0,11,16.00,19.63
8,2067,8,3,0,11,16.00,14.54
9,1772,7,4,0,11,14.00,20.81
10,195,7,4,0,11,14.00,19.90
11,230,7,4,0,11,14.00,18.72
12,236,7,3,0,10,14.00,15.36
13,1884,7,4,0,11,14.00,14.54
14,190,6,5,0,11,12.00,25.36
15,571,6,5,0,11,12.00,19.54
16,467,6,4,0,10,12.00,15.00
17,2877,6,5,0,11,12.00,13.54
18,1735,6,5,0,11,12.00,12.00
19,2648,5,6,0,11,10.00,24.27
20,2168,5,6,0,11,10.00,17.09
21,839,5,6,0,11,10.00,13.72
22,1687,5,6,0,11,10.00,12.81
23,1100,5,6,0,11,10.00,8.72
24,3044,4,7,0,11,8.00,20.54
25,2104,4,7,0,11,8.00,18.54
26,2791,4,7,0,11,8.00,18.09
27,3273,4,7,0,11,8.00,15.54
28,1973,4,7,0,11,8.00,7.00
29,1665,3,8,0,11,6.00,19.72
30,3205,3,8,0,11,6.00,17.36
31,2370,3,8,0,11,6.00,14.81
32,1991,3,8,0,11,6.00,9.90
33,3499,3,7,0,10,6.00,9.09
34,3780,3,7,0,10,6.00,6.36
35,2437,2,9,0,11,4.00,12.54
36,2876,1,9,0,10,2.00,11.45
