2013wach_qm58,frc2130,frc4030,frc2660,frc4520,frc3663,frc2522,136,74
2013wach_qm59,frc1899,frc2148,frc3801,frc4104,frc4131,frc3513,67,5
2013wach_qm6,frc2944,frc4082,frc2471,frc3831,frc2660,frc3681,43,0
2013wach_qm60,frc4082,frc4125,frc3145,frc4371,frc2926,frc2990,31,21
2013wach_qm61,frc1983,frc3131,frc3243,frc3789,frc2471,frc2733,106,62
2013wach_qm62,frc1595,frc3693,frc2374,frc3315,frc4131,frc2148,107,12
2013wach_qm63,frc2122,frc2411,frc1899,frc2926,frc3801,frc2944,94,29
2013wach_qm64,frc3681,frc4371,frc4742,frc2130,frc1983,frc4520,23,94
2013wach_qm65,frc2147,frc3831,frc2522,frc2990,frc2733,frc3145,58,124
2013wach_qm66,frc1595,frc4104,frc3968,frc4125,frc3789,frc2660,68,31
2013wach_qm67,frc2907,frc4030,frc4082,frc4513,frc3315,frc3243,80,52
2013wach_qm68,frc1695,frc3513,frc4061,frc3131,frc3693,frc2471,42,111
2013wach_qm69,frc3663,frc2411,frc4131,frc1696,frc1983,frc4371,82,53
2013wach_qm7,frc3789,frc4104,frc3693,frc2122,frc4030,frc4742,35,31
2013wach_qm70,frc4125,frc3243,frc4104,frc2990,frc3681,frc2147,70,107
2013wach_qm71,frc4082,frc2733,frc3513,frc1595,frc4030,frc3789,41,101
2013wach_qm72,frc1696,frc2130,frc4513,frc2148,frc2926,frc3693,96,10
2013wach_qm73,frc3315,frc3663,frc2374,frc2944,frc3831,frc2122,89,43
2013wach_qm74,frc1695,frc3131,frc1899,frc4742,frc2522,frc2660,84,59
2013wach_qm75,frc2907,frc3968,frc3145,frc4520,frc3801,frc2471,93,16
2013wach_qm76,frc1696,frc3789,frc4131,frc4061,frc3315,frc2130,59,128
2013wach_qm8,frc3801,frc3513,frc2522,frc4125,frc3315,frc1696,49,28
2013wach_qm9,frc2733,frc4520,frc1899,frc4061,frc1983,frc4082,26,91
2013wach_sf1m1,frc3681,frc2130,frc4061,frc3145,frc2733,frc1899,152,138
2013wach_sf1m2,frc3681,frc4061,frc2130,frc2733,frc1899,frc3145,119,133
2013wach_sf1m3,frc3681,frc4061,frc2130,frc1899,frc2733,frc3145,89,101
2013wach_sf2m1,frc2471,frc1983,frc4125,frc2122,frc1595,frc3789,107,65
2013wach_sf2m2,frc4125,frc1983,frc2471,frc3789,frc2122,frc1595,137,116
