Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1425,7,0,0,7,14.00,24.29,256
2,173,7,0,0,7,14.00,16.57,140
3,25,7,0,0,7,14.00,6.86,146
4,2272,6,1,0,7,12.00,24.57,256
5,1126,6,1,0,7,12.00,18.00,140
6,1712,6,1,0,7,12.00,17.71,146
7,1595,6,1,0,7,12.00,16.14,158
8,341,6,1,0,7,12.00,14.86,48
9,65,6,1,0,7,12.00,12.43,158
10,191,6,1,0,7,12.00,11.43,256
11,56,6,1,0,7,12.00,8.86,96
12,1382,5,2,0,7,10.00,29.57,128
13,1730,5,2,0,7,10.00,28.14,128
14,488,5,2,0,7,10.00,21.57,158
15,2056,5,2,0,7,10.00,20.57,94
16,2169,5,2,0,7,10.00,19.43,72
17,401,5,2,0,7,10.00,18.14,143
18,45,5,2,0,7,10.00,15.86,143
19,461,5,2,0,7,10.00,15.86,72
20,1860,5,2,0,7,10.00,15.71,128
21,604,5,2,0,7,10.00,14.57,82
22,1026,5,2,0,7,10.00,13.86,112
23,1902,5,2,0,7,10.00,12.43,106
24,2024,5,2,0,7,10.00,8.71,50
25,353,4,3,0,7,8.00,28.57,79
26,237,4,3,0,7,8.00,24.29,256
27,1680,4,3,0,7,8.00,22.43,264
28,1319,4,3,0,7,8.00,20.86,82
29,79,4,3,0,7,8.00,17.57,128
30,250,4,3,0,7,8.00,15.86,50
31,229,4,3,0,7,8.00,14.29,106
32,1011,4,3,0,7,8.00,13.86,146
33,1100,4,3,0,7,8.00,13.14,264
34,2228,4,3,0,7,8.00,13.14,79
35,1057,4,3,0,7,8.00,12.29,140
36,84,4,3,0,7,8.00,10.14,128
37,1655,4,3,0,7,8.00,9.57,158
38,842,4,3,0,7,8.00,9.14,140
39,1208,4,3,0,7,8.00,8.29,36
40,151,4,2,0,6,8.00,6.86,36
41,675,4,3,0,7,8.00,5.71,54
42,1775,3,4,0,7,6.00,28.86,140
43,2079,3,4,0,7,6.00,27.43,112
44,379,3,4,0,7,6.00,25.57,271
45,93,3,4,0,7,6.00,23.86,112
46,1583,3,4,0,7,6.00,20.71,271
47,279,3,4,0,7,6.00,20.29,94
48,2237,3,4,0,7,6.00,18.14,128
49,503,3,4,0,7,6.00,16.29,158
50,703,3,4,0,7,6.00,16.14,82
51,1527,3,4,0,7,6.00,16.00,136
52,231,3,4,0,7,6.00,15.57,264
53,932,3,4,0,7,6.00,14.14,256
54,116,3,4,0,7,6.00,14.00,271
55,2026,3,4,0,7,6.00,12.86,143
56,1251,3,4,0,7,6.00,12.14,136
57,2119,3,4,0,7,6.00,11.29,140
58,1515,3,4,0,7,6.00,10.43,126
59,1450,3,4,0,7,6.00,8.14,128
60,903,3,4,0,7,6.00,7.29,128
61,540,2,5,0,7,4.00,26.43,92
62,816,2,5,0,7,4.00,21.29,103
63,217,2,5,0,7,4.00,18.71,136
64,123,2,5,0,7,4.00,15.29,49
65,1555,2,5,0,7,4.00,14.29,32
66,1504,2,5,0,7,4.00,13.86,128
67,294,2,5,0,7,4.00,13.71,32
68,70,2,5,0,7,4.00,13.00,122
69,1289,2,5,0,7,4.00,12.57,128
70,1624,2,5,0,7,4.00,12.00,256
71,135,2,5,0,7,4.00,12.00,64
72,1848,2,5,0,7,4.00,11.29,54
73,1991,2,5,0,7,4.00,10.00,62
74,2158,2,5,0,7,4.00,8.71,38
75,1694,2,5,0,7,4.00,5.43,54
76,335,2,5,0,7,4.00,4.29,44
77,989,2,5,0,7,4.00,3.14,76
78,1141,1,6,0,7,2.00,27.00,122
79,103,1,6,0,7,2.00,21.71,82
80,326,1,6,0,7,2.00,13.14,38
81,1817,1,6,0,7,2.00,10.57,47
82,670,1,6,0,7,2.00,9.71,64
83,618,1,6,0,7,2.00,9.43,32
84,752,1,5,0,6,2.00,7.71,34
85,178,1,6,0,7,2.00,6.86,16
86,362,0,7,0,7,0.00,16.29,32
