Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1998,9,3,0,12,18.00,47.16,78
2,201,9,3,0,12,18.00,41.66,102
3,818,9,3,0,12,18.00,40.25,87
4,910,9,3,0,12,18.00,39.91,102
5,1025,8,3,1,12,17.00,46.16,90
6,280,8,4,0,12,16.00,46.75,88
7,1856,8,4,0,12,16.00,41.25,96
8,2719,7,4,1,12,15.00,46.41,103
9,1189,7,4,1,12,15.00,42.75,103
10,519,7,4,1,12,15.00,36.83,74
11,835,7,5,0,12,14.00,46.00,88
12,1941,7,5,0,12,14.00,45.66,83
13,2834,7,5,0,12,14.00,45.58,90
14,2620,7,5,0,12,14.00,42.50,88
15,2612,7,5,0,12,14.00,42.41,82
16,515,7,5,0,12,14.00,40.66,66
17,313,7,5,0,12,14.00,40.25,72
18,3096,6,5,1,12,13.00,49.41,93
19,2960,6,5,1,12,13.00,44.91,74
20,548,6,6,0,12,12.00,47.83,93
21,65,5,5,2,12,12.00,44.58,91
22,66,6,6,0,12,12.00,42.33,84
23,3119,6,6,0,12,12.00,39.75,87
24,2224,5,6,1,12,11.00,44.75,103
25,226,5,6,1,12,11.00,40.00,96
26,240,5,6,1,12,11.00,38.75,72
27,1528,4,6,2,12,10.00,40.16,86
28,3069,5,7,0,12,10.00,36.58,102
29,440,4,7,1,12,9.00,45.50,77
30,2048,4,7,1,12,9.00,44.16,69
31,815,4,7,1,12,9.00,40.66,78
32,2431,4,7,1,12,9.00,40.33,74
33,3097,3,7,2,12,8.00,46.58,86
34,1602,4,8,0,12,8.00,43.50,91
35,406,3,7,2,12,8.00,43.50,78
36,903,4,8,0,12,8.00,36.33,96
37,3115,3,8,1,12,7.00,46.41,80
38,2591,3,8,1,12,7.00,42.83,84
39,3002,2,9,1,12,5.00,41.33,93
40,2050,0,11,0,11,0,37.66,60
