Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2337,11,1,0,12,22.00,28.91
2,3098,10,2,0,12,20.00,40.83
3,494,10,2,0,12,20.00,36.16
4,2619,9,3,0,12,18.00,36.75
5,70,9,3,0,12,18.00,33.25
6,302,9,3,0,12,18.00,21.66
7,3547,8,4,0,12,16.00,36.33
8,3536,8,4,0,12,16.00,28.58
9,68,7,5,0,12,14.00,35.16
10,573,7,5,0,12,14.00,34.16
11,3535,7,5,0,12,14.00,33.41
12,3322,7,5,0,12,14.00,32.66
13,3638,7,5,0,12,14.00,23.91
14,66,7,4,0,11,14.00,19.83
15,1504,7,4,0,11,14.00,18.50
16,835,7,4,0,11,14.00,17.75
17,2145,6,6,0,12,12.00,42.00
18,1025,6,6,0,12,12.00,34.08
19,3537,6,6,0,12,12.00,29.50
20,1322,6,6,0,12,12.00,29.08
21,894,6,6,0,12,12.00,27.50
22,470,6,5,0,11,12.00,26.83
23,240,6,6,0,12,12.00,13.08
24,1502,6,4,0,10,12.00,12.58
25,548,5,6,0,11,10.00,40.50
26,3548,5,7,0,12,10.00,28.25
27,3707,5,7,0,12,10.00,27.16
28,247,5,6,0,11,10.00,26.33
29,830,5,7,0,12,10.00,24.50
30,1076,4,8,0,12,8.00,21.16
31,3668,4,7,0,11,8.00,20.83
32,3415,4,8,0,12,8.00,20.50
33,3773,4,8,0,12,8.00,14.91
34,3656,3,9,0,12,6.00,30.33
35,1684,3,9,0,12,6.00,21.66
36,862,3,8,0,11,6.00,21.16
37,3641,3,7,0,10,6.00,12.66
38,2075,2,10,0,12,4.00,27.33
39,3655,2,9,0,11,4.00,25.50
40,2627,0,7,0,7,0,9.50
