Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,501,8,0,0,8,16.00,15.50,256
2,175,7,1,0,8,14.00,16.75,64
3,1519,7,1,0,8,14.00,6.63,32
4,58,6,1,1,8,13.00,9.50,98
5,134,6,1,1,8,13.00,6.50,35
6,1276,6,2,0,8,12.00,16.25,104
7,296,6,2,0,8,12.00,11.00,256
8,1307,6,2,0,8,12.00,9.50,256
9,1474,6,2,0,8,12.00,8.88,256
10,1721,5,1,2,8,12.00,8.00,76
11,1247,5,3,0,8,10.00,17.13,68
12,1824,5,3,0,8,10.00,12.88,62
13,1153,5,3,0,8,10.00,11.38,68
14,1073,4,3,1,8,9.00,16.00,68
15,126,4,3,1,8,9.00,11.13,256
16,166,4,3,1,8,9.00,11.00,68
17,133,4,3,1,8,9.00,8.50,36
18,610,4,2,3,8,9.00,3.25,76
19,562,4,4,0,8,8.00,12.88,36
20,40,4,4,0,8,8.00,11.50,104
21,1277,4,4,0,8,8.00,11.50,64
22,811,4,4,0,8,8.00,9.38,58
23,885,4,4,0,8,8.00,9.38,38
24,1512,4,4,0,8,8.00,8.38,64
25,151,4,4,0,8,8.00,7.75,64
26,1058,3,4,1,8,7.00,15.00,41
27,1991,3,4,1,8,7.00,12.13,47
28,172,3,4,1,8,7.00,10.00,68
29,663,2,3,3,8,7.00,3.25,16
30,190,3,5,0,8,6.00,17.50,62
31,238,3,5,0,8,6.00,14.88,38
32,241,3,5,0,8,6.00,13.50,64
33,213,3,5,0,8,6.00,11.50,256
34,131,3,5,0,8,6.00,9.88,34
35,549,3,5,0,8,6.00,8.25,28
36,1922,3,4,2,8,6.00,7.13,32
37,319,2,5,0,8,6.00,6.75,83
38,42,2,5,1,8,5.00,10.88,32
39,95,2,5,1,8,5.00,9.63,64
40,1831,2,5,1,8,5.00,9.50,59
41,1335,2,6,0,8,4.00,12.00,98
42,1517,2,6,0,8,4.00,8.63,36
43,1699,1,5,2,8,4.00,5.00,32
44,500,1,7,0,8,2.00,6.88,36
45,138,1,7,0,8,2.00,5.25,32
46,1289,0,8,0,8,0.00,8.25,16
