Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,4488,22.00,260.00,475.00,130.00,471.00,11-1-0,0,12
2,2471,20.00,180.00,366.00,200.00,405.00,10-2-0,0,12
3,1425,20.00,170.00,352.00,210.00,136.00,10-2-0,0,12
4,997,16.00,150.00,401.00,140.00,244.00,8-4-0,0,12
5,2002,16.00,120.00,338.00,40.00,338.00,8-4-0,0,12
6,2550,16.00,60.00,256.00,40.00,544.00,8-4-0,0,12
7,2635,16.00,50.00,316.00,120.00,352.00,8-4-0,0,12
8,3131,15.00,110.00,276.00,90.00,261.00,7-4-1,0,12
9,3574,14.00,150.00,345.00,50.00,177.00,7-5-0,0,12
10,3812,14.00,100.00,312.00,140.00,319.00,7-5-0,0,12
11,3673,14.00,90.00,211.00,40.00,414.00,7-5-0,0,12
12,2411,14.00,70.00,275.00,70.00,365.00,7-5-0,0,12
13,4127,14.00,40.00,285.00,80.00,469.00,7-5-0,0,12
14,3024,14.00,30.00,266.00,30.00,349.00,7-5-0,0,12
15,4132,14.00,20.00,210.00,60.00,308.00,7-5-0,0,12
16,2374,13.00,80.00,266.00,120.00,141.00,6-5-1,0,12
17,4457,12.00,160.00,269.00,90.00,161.00,6-6-0,0,12
18,5198,12.00,160.00,150.00,100.00,360.00,6-6-0,0,12
19,955,12.00,120.00,372.00,200.00,387.00,6-6-0,0,12
20,1540,12.00,120.00,322.00,70.00,279.00,6-6-0,0,12
21,2915,12.00,70.00,255.00,60.00,234.00,6-6-0,0,12
22,2542,12.00,60.00,151.00,40.00,243.00,6-6-0,0,12
23,2517,12.00,50.00,217.00,80.00,191.00,6-6-0,0,12
24,3674,11.00,30.00,265.00,50.00,257.00,5-6-1,0,12
25,2811,10.00,110.00,150.00,40.00,249.00,5-7-0,0,12
26,847,9.00,70.00,245.00,80.00,211.00,4-7-1,0,12
27,4057,8.00,50.00,206.00,40.00,398.00,4-8-0,0,12
28,2733,8.00,50.00,175.00,80.00,222.00,4-8-0,0,12
29,2093,6.00,120.00,156.00,10.00,186.00,3-8-0,1,12
30,1571,6.00,30.00,191.00,60.00,156.00,3-9-0,0,12
31,753,5.00,50.00,240.00,40.00,87.00,2-9-1,0,12
32,3636,5.00,30.00,226.00,100.00,111.00,2-9-1,0,12
33,4051,4.00,90.00,200.00,40.00,153.00,2-10-0,0,12
34,4692,4.00,80.00,225.00,10.00,175.00,2-10-0,0,12
35,4652,4.00,10.00,96.00,30.00,46.00,2-5-0,5,12
