Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,131,9,1,0,10,18.00,22.00
2,811,8,2,0,10,16.00,25.00
3,175,8,2,0,10,16.00,15.70
4,95,8,2,0,10,16.00,15.50
5,836,7,3,0,10,14.00,36.10
6,3074,7,3,0,10,14.00,28.90
7,58,7,3,0,10,14.00,22.40
8,1519,7,3,0,10,14.00,21.10
9,172,7,3,0,10,14.00,20.50
10,3566,7,3,0,10,14.00,13.50
11,1729,7,2,0,9,14.00,12.50
12,176,6,4,0,10,12.00,31.20
13,40,6,3,0,9,12.00,29.10
14,69,6,4,0,10,12.00,28.40
15,126,6,4,0,10,12.00,25.10
16,3467,6,4,0,10,12.00,23.50
17,1073,6,4,0,10,12.00,18.60
18,133,6,4,0,10,12.00,18.40
19,1517,6,2,0,8,12.00,10.50
20,78,5,4,0,9,10.00,25.10
21,138,5,5,0,10,10.00,21.40
22,501,5,5,0,10,10.00,20.50
23,1058,5,5,0,10,10.00,19.90
24,3451,4,3,0,7,10.00,15.50
25,134,5,4,0,9,10.00,14.50
26,1138,5,5,0,10,10.00,14.40
27,166,5,5,0,10,10.00,13.90
28,562,5,5,0,10,10.00,12.40
29,319,5,2,0,7,10.00,9.80
30,885,4,6,0,10,8.00,22.70
31,61,4,6,0,10,8.00,21.50
32,20,4,6,0,10,8.00,19.00
33,238,4,6,0,10,8.00,18.10
34,3323,4,6,0,10,8.00,15.50
35,1307,4,6,0,10,8.00,11.40
36,1493,4,6,0,10,8.00,10.10
37,2010,4,6,0,10,8.00,10.00
38,1247,3,7,0,10,6.00,23.60
39,1277,3,7,0,10,6.00,20.70
40,241,3,7,0,10,6.00,17.60
41,2621,3,6,0,9,6.00,16.30
42,2342,3,7,0,10,6.00,14.20
43,1512,3,6,0,9,6.00,12.40
44,1289,3,7,0,10,6.00,11.60
45,151,3,5,0,8,6.00,11.00
46,1831,3,7,0,10,6.00,10.50
47,1922,3,7,0,10,6.00,9.50
48,509,2,6,0,8,4.00,16.50
49,213,2,8,0,10,4.00,9.40
50,3585,2,6,0,8,4.00,3.40
51,1721,1,9,0,10,2.00,17.20
52,1824,1,9,0,10,2.00,14.00
