Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,987,11,0,0,11,22.00,41.27,106
2,39,9,2,0,11,18.00,44.55,112
3,1540,9,2,0,11,18.00,39.27,88
4,842,9,2,0,11,18.00,29.09,80
5,988,8,3,0,11,16.00,35.27,106
6,2150,8,3,0,11,16.00,31.45,68
7,8,7,4,0,11,14.00,38.18,106
8,1359,7,4,0,11,14.00,35.09,54
9,2520,7,4,0,11,14.00,32.00,68
10,2034,7,4,0,11,14.00,29.64,112
11,991,7,4,0,11,14.00,28.00,48
12,1070,7,4,0,11,14.00,27.64,86
13,1703,7,4,0,11,14.00,22.91,70
14,973,6,5,0,11,12.00,44.00,96
15,60,6,5,0,11,12.00,34.91,104
16,1013,6,5,0,11,12.00,34.36,88
17,1724,6,5,0,11,12.00,30.91,82
18,2139,6,5,0,11,12.00,30.00,64
19,2032,6,5,0,11,12.00,21.27,68
20,1669,6,5,0,11,12.00,19.82,60
21,1011,5,6,0,11,10.00,40.18,112
22,473,5,6,0,11,10.00,33.09,76
23,989,5,6,0,11,10.00,29.09,86
24,2037,5,6,0,11,10.00,29.09,68
25,1661,5,6,0,11,10.00,27.82,80
26,4,5,6,0,11,10.00,27.82,74
27,1704,5,6,0,11,10.00,18.73,76
28,1527,4,7,0,11,8.00,36.00,62
29,1631,4,7,0,11,8.00,30.55,44
30,1425,4,7,0,11,8.00,29.82,88
31,2057,4,7,0,11,8.00,27.09,74
32,1780,4,7,0,11,8.00,25.45,66
33,1883,4,7,0,11,8.00,24.91,72
34,2484,4,7,0,11,8.00,24.36,76
35,2061,4,7,0,11,8.00,22.55,68
36,1457,3,8,0,11,6.00,35.64,62
37,698,3,8,0,11,6.00,30.91,80
38,2069,3,8,0,11,6.00,25.27,48
39,1641,3,8,0,11,6.00,24.91,68
40,585,3,8,0,11,6.00,23.45,88
41,1266,2,9,0,11,4.00,30.55,40
42,2602,2,9,0,11,4.00,19.09,80
