Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,987,20.00,314.00,170.00,673.00,10-0-0,0,10
2,399,20.00,186.00,200.00,317.00,10-0-0,0,10
3,2984,18.00,252.00,190.00,343.00,9-1-0,0,10
4,2485,18.00,246.00,170.00,468.00,9-1-0,0,10
5,1538,18.00,246.00,150.00,325.00,9-1-0,0,10
6,589,18.00,120.00,260.00,276.00,9-1-0,0,10
7,4583,16.00,210.00,80.00,190.00,8-2-0,0,10
8,4014,16.00,94.00,330.00,118.00,8-2-0,0,10
9,3476,14.00,222.00,140.00,257.00,7-3-0,0,10
10,1159,14.00,132.00,150.00,127.00,7-3-0,0,10
11,2827,12.00,204.00,130.00,180.00,6-4-0,0,10
12,4401,12.00,198.00,160.00,165.00,6-4-0,0,10
13,599,12.00,194.00,160.00,281.00,6-4-0,0,10
14,4139,12.00,138.00,190.00,216.00,6-4-0,0,10
15,4322,12.00,126.00,150.00,392.00,6-4-0,0,10
16,812,12.00,108.00,90.00,144.00,6-4-0,0,10
17,3041,12.00,60.00,200.00,127.00,6-4-0,0,10
18,254,10.00,228.00,180.00,298.00,5-5-0,0,10
19,3925,10.00,206.00,110.00,124.00,5-5-0,0,10
20,3965,10.00,198.00,150.00,253.00,5-5-0,0,10
21,3255,10.00,192.00,150.00,215.00,5-5-0,0,10
22,3486,10.00,176.00,150.00,188.00,5-5-0,0,10
23,3250,10.00,170.00,90.00,196.00,5-5-0,0,10
24,4619,10.00,156.00,120.00,228.00,5-5-0,0,10
25,1726,10.00,148.00,190.00,240.00,5-5-0,0,10
26,2102,10.00,144.00,150.00,204.00,5-5-0,0,10
27,3480,10.00,142.00,110.00,150.00,5-5-0,0,10
28,2496,10.00,132.00,120.00,179.00,5-5-0,0,10
29,4738,10.00,120.00,220.00,177.00,5-5-0,0,10
30,3647,10.00,112.00,190.00,156.00,5-5-0,0,10
31,1266,10.00,108.00,90.00,226.00,5-5-0,0,10
32,2543,8.00,210.00,170.00,161.00,4-6-0,0,10
33,3341,8.00,150.00,180.00,204.00,4-6-0,0,10
34,1622,8.00,134.00,120.00,206.00,4-6-0,0,10
35,3849,8.00,130.00,100.00,211.00,4-6-0,0,10
36,980,8.00,120.00,110.00,168.00,4-6-0,0,10
37,1515,8.00,120.00,100.00,156.00,4-6-0,0,10
38,4673,8.00,118.00,120.00,153.00,4-6-0,0,10
39,702,8.00,116.00,110.00,109.00,4-6-0,0,10
40,2339,8.00,96.00,160.00,159.00,4-6-0,0,10
41,1572,8.00,96.00,80.00,231.00,4-6-0,0,10
42,3952,8.00,96.00,60.00,121.00,4-5-0,1,10
43,4486,8.00,82.00,100.00,88.00,4-6-0,0,10
44,3021,8.00,78.00,90.00,190.00,4-5-0,1,10
45,2029,8.00,74.00,90.00,135.00,4-6-0,0,10
46,2193,8.00,66.00,80.00,122.00,4-6-0,0,10
47,3704,8.00,32.00,120.00,171.00,4-6-0,0,10
48,4160,6.00,120.00,50.00,171.00,3-7-0,0,10
49,2658,6.00,98.00,70.00,205.00,3-7-0,0,10
50,4161,6.00,90.00,150.00,122.00,3-7-0,0,10
51,2839,6.00,90.00,110.00,98.00,3-7-0,0,10
52,4711,6.00,90.00,60.00,147.00,3-5-0,2,10
53,3453,6.00,78.00,60.00,115.00,3-7-0,0,10
54,4616,6.00,74.00,120.00,126.00,3-7-0,0,10
55,3749,6.00,54.00,170.00,80.00,3-7-0,0,10
56,1138,4.00,148.00,130.00,139.00,2-8-0,0,10
57,3128,4.00,114.00,100.00,115.00,2-8-0,0,10
58,1661,4.00,84.00,90.00,122.00,2-8-0,0,10
59,3967,4.00,78.00,70.00,131.00,2-7-0,1,10
