Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,714,8,1,0,9,16.00,18.44
2,768,8,1,0,9,16.00,14.33
3,1124,7,1,1,9,15.00,18.66
4,836,7,2,0,9,14.00,31.00
5,340,7,2,0,9,14.00,20.55
6,365,7,2,0,9,14.00,17.33
7,250,7,2,0,9,14.00,13.22
8,1895,7,2,0,9,14.00,11.11
9,549,6,3,0,9,12.00,20.77
10,1218,6,3,0,9,12.00,18.66
11,1143,6,3,0,9,12.00,15.44
12,2912,6,3,0,9,12.00,14.11
13,846,6,3,0,9,12.00,11.88
14,509,6,3,0,9,12.00,10.44
15,237,6,3,0,9,12.00,9.22
16,1403,5,3,1,9,11.00,22.00
17,134,5,3,1,9,11.00,18.55
18,2199,5,3,1,9,11.00,13.66
19,1389,5,3,1,9,11.00,11.66
20,3307,5,2,1,8,11.00,6.44
21,1111,5,4,0,9,10.00,18.22
22,888,5,4,0,9,10.00,13.33
23,1748,4,2,2,8,10.00,9.11
24,316,5,4,0,9,10.00,5.66
25,178,5,4,0,9,10.00,3.22
26,1370,4,4,1,9,9.00,11.55
27,3733,4,2,1,7,9.00,10.77
28,2546,4,4,1,9,9.00,10.44
29,1699,4,4,1,9,9.00,10.33
30,225,4,3,1,8,9.00,10.00
31,204,4,4,1,9,9.00,6.55
32,53,4,4,0,8,8.00,13.44
33,88,4,5,0,9,8.00,12.11
34,686,3,4,2,9,8.00,12.00
35,7,4,5,0,9,8.00,11.66
36,3389,4,5,0,9,8.00,11.55
37,2377,4,4,0,8,8.00,9.88
38,2789,3,4,2,9,8.00,4.00
39,422,3,4,1,8,7.00,15.11
40,2866,3,4,1,8,7.00,10.00
41,2641,3,5,1,9,7.00,6.44
42,1980,2,5,2,9,6.00,13.22
43,2528,3,6,0,9,6.00,12.77
44,1195,3,5,0,8,6.00,12.44
45,3714,2,5,2,9,6.00,12.22
46,3748,3,6,0,9,6.00,10.55
47,484,3,6,0,9,6.00,6.55
48,87,3,6,0,9,6.00,5.66
49,3154,3,5,0,8,6.00,5.44
50,3650,3,5,0,8,6.00,3.88
51,1719,2,5,1,8,5.00,12.33
52,2836,2,6,1,9,5.00,9.77
53,1446,2,5,1,8,5.00,7.11
54,2537,2,7,0,9,4.00,13.55
55,1727,2,6,0,8,4.00,13.55
56,1893,2,6,0,8,4.00,11.44
57,3793,2,7,0,9,4.00,10.22
58,2849,2,7,0,9,4.00,8.44
59,708,1,7,1,9,3.00,2.33
60,3150,1,7,0,8,2.00,11.77
