Rank,Team,RP,Auto,Scale/Challenge,Goal,Defense,W-L-T,DQ,Played
1,971,42,446,245,770,695,11-1-0,0,12
2,1678,41,414,175,793,660,11-1-0,0,12
3,2073,39,300,180,676,685,10-2-0,0,12
4,1671,36,395,160,702,645,11-1-0,0,12
5,1323,33,419,135,656,700,8-4-0,0,12
6,971B,31,378,150,665,655,7-5-0,0,12
7,973,31,299,215,536,575,10-2-0,0,12
8,971C,29,304,155,371,625,7-5-0,0,12
9,973B,28,346,185,480,685,6-6-0,0,12
10,5104,26,302,170,380,650,6-6-0,0,12
11,2073B,26,299,135,486,625,6-6-0,0,12
12,2135,26,282,145,357,600,7-5-0,0,12
13,6174,26,264,155,401,535,7-5-0,0,12
14,114,25,292,150,399,685,6-6-0,0,12
15,5852,24,305,165,371,620,5-7-0,0,12
16,5014,24,250,205,466,535,5-7-0,0,12
17,3859,22,318,170,368,625,7-5-0,0,12
18,2144,22,310,145,396,635,5-7-0,0,12
19,1678B,22,184,175,337,575,6-6-0,0,12
20,9999,22,146,160,279,460,6-6-0,0,12
21,2135B,21,299,115,405,670,5-7-0,0,12
22,4171,21,144,145,263,520,5-7-0,0,12
23,5499,20,288,125,347,610,5-7-0,0,12
24,5817,20,284,105,302,580,5-7-0,0,12
25,5817B,20,232,135,363,565,4-8-0,0,12
26,3495,19,205,115,364,525,5-7-0,0,12
27,1323B,19,198,145,345,565,4-8-0,0,12
28,3482,17,296,135,306,675,3-9-0,0,12
29,2813,16,264,150,302,600,3-9-0,0,12
30,1671B,15,278,160,326,565,3-9-0,0,12
31,1678C,15,164,145,267,520,3-9-0,0,12
32,4255,13,216,125,307,525,3-9-0,0,12
33,5817C,13,188,95,248,470,3-9-0,0,12
