Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,1477,36.00,111.00,50.00,197.00,14,11-0-0,0,11
2,624,30.00,71.00,110.00,155.00,10,10-1-0,0,11
3,2848,28.00,101.00,60.00,121.00,8,10-1-0,0,11
4,2992,23.00,80.00,40.00,130.00,6,8-2-1,0,11
5,3937,22.00,135.00,40.00,78.00,6,8-3-0,0,11
6,3039,20.00,107.00,40.00,82.00,4,7-2-2,0,11
7,3350,20.00,106.00,10.00,65.00,8,6-5-0,0,11
8,1912,20.00,56.00,70.00,77.00,8,6-5-0,0,11
9,364,18.00,85.00,30.00,59.00,2,8-3-0,0,11
10,1296,18.00,75.00,50.00,88.00,2,8-3-0,0,11
11,1421,18.00,69.00,90.00,128.00,4,7-4-0,0,11
12,1927,17.00,99.00,30.00,78.00,2,7-3-1,0,11
13,4053,17.00,46.00,30.00,76.00,4,6-4-1,0,11
14,3337,17.00,39.00,60.00,89.00,4,6-4-1,0,11
15,456,16.00,56.00,30.00,52.00,6,5-6-0,0,11
16,3666,16.00,54.00,10.00,58.00,4,6-5-0,0,11
17,3469,16.00,40.00,30.00,50.00,4,6-5-0,0,11
18,57,15.00,59.00,30.00,50.00,0,7-3-1,0,11
19,4209,15.00,24.00,20.00,43.00,2,6-4-1,0,11
20,4353,15.00,22.00,20.00,54.00,6,4-6-1,0,11
21,3616,14.00,67.00,70.00,62.00,0,7-4-0,0,11
22,2080,14.00,39.00,70.00,53.00,2,6-5-0,0,11
23,4316,14.00,38.00,80.00,102.00,0,7-4-0,0,11
24,2221,14.00,36.00,30.00,66.00,4,5-6-0,0,11
25,2078,14.00,35.00,60.00,88.00,4,5-6-0,0,11
26,3753,13.00,63.00,10.00,73.00,2,5-5-1,0,11
27,3310,13.00,60.00,30.00,91.00,4,4-6-1,0,11
28,4107,13.00,36.00,30.00,59.00,4,4-6-1,0,11
29,4087,13.00,30.00,30.00,33.00,4,4-6-1,0,11
30,2183,12.00,70.00,10.00,66.00,4,4-7-0,0,11
31,1304,12.00,49.00,10.00,53.00,4,4-6-0,1,11
32,3468,11.00,53.00,20.00,46.00,4,3-7-1,0,11
33,2242,11.00,38.00,20.00,55.00,2,4-6-1,0,11
34,3606,11.00,28.00,20.00,41.00,2,4-6-1,0,11
35,3991,10.00,77.00,10.00,80.00,2,4-5-0,2,11
36,3946,10.00,40.00,30.00,51.00,2,4-5-0,2,11
37,3471,10.00,35.00,30.00,60.00,2,4-6-0,1,11
38,4199,10.00,25.00,0,56.00,4,1-5-4,1,11
39,3228,10.00,16.00,20.00,54.00,2,4-5-0,2,11
40,4179,9.00,63.00,20.00,23.00,4,2-8-1,0,11
41,4136,9.00,44.00,40.00,29.00,2,3-6-1,1,11
42,4336,9.00,22.00,10.00,36.00,4,2-8-1,0,11
43,4297,9.00,16.00,30.00,41.00,2,3-4-1,3,11
44,4113,9.00,11.00,10.00,32.00,4,2-6-1,2,11
45,2091,7.00,24.00,20.00,34.00,2,2-8-1,0,11
46,418,7.00,15.00,50.00,60.00,0,3-7-1,0,11
47,3411,6.00,54.00,20.00,56.00,0,2-7-2,0,11
48,3672,4.00,44.00,10.00,50.00,2,1-10-0,0,11
49,1920,4.00,16.00,10.00,30.00,0,2-1-0,8,11
