Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,5150,2.3999999999999999,1385,340,720,500,55,5-0-0,0,5
2,703,2.2000000000000002,1502,294,700,600,57,4-1-0,0,5
3,2337,2.2000000000000002,1370,326,620,450,200,4-1-0,0,5
4,494,2,1377,287,740,500,52,4-1-0,0,5
5,2960,2,1208,272,580,500,48,4-1-0,0,5
6,5114,1.8,1508,329,680,700,33,4-1-0,0,5
7,33,1.8,1360,424,660,450,80,4-1-0,0,5
8,3322,1.8,1335,375,740,500,0,4-1-0,0,5
9,894,1.8,1229,261,700,400,39,4-1-0,0,5
10,314,1.6000000000000001,1597,348,640,650,37,4-1-0,0,5
11,2832,1.6000000000000001,1400,328,680,550,35,4-1-0,0,5
12,910,1.6000000000000001,1307,334,680,500,47,4-1-0,0,5
13,3667,1.6000000000000001,1220,380,660,450,5,4-1-0,0,5
14,4961,1.3999999999999999,1268,405,700,400,48,3-2-0,0,5
15,5907,1.3999999999999999,1221,284,620,450,66,3-2-0,0,5
16,5167,1.3999999999999999,1111,202,520,450,41,3-2-0,0,5
17,302,1.2,1439,338,680,550,34,3-2-0,0,5
18,3534,1.2,1252,271,580,550,17,3-2-0,0,5
19,5201,1.2,1225,255,580,550,10,3-2-0,0,5
20,4362,1.2,1203,258,580,450,13,3-2-0,0,5
21,5436,1.2,1129,261,620,350,39,3-2-0,0,5
22,2604,1.2,1117,191,640,350,22,3-2-0,0,5
23,27,1,1416,370,720,500,71,2-3-0,0,5
24,548,1,1206,185,640,450,1,2-3-0,0,5
25,1684,1,1176,299,660,350,61,2-3-0,0,5
26,1506,1,1106,126,660,350,6,2-3-0,0,5
27,1322,1,1047,197,560,400,2,2-3-0,0,5
28,51,0.80000000000000004,1244,207,640,500,29,2-3-0,0,5
29,5066,0.80000000000000004,1073,128,540,450,3,2-3-0,0,5
30,4779,0.80000000000000004,1072,137,500,450,7,2-3-0,0,5
31,2054,0.80000000000000004,1067,325,560,400,17,2-3-0,0,5
32,3175,0.80000000000000004,892,175,480,300,32,2-2-0,1,5
33,862,0.80000000000000004,873,191,440,300,18,2-2-0,1,5
34,217,0.59999999999999998,1151,268,620,400,66,1-4-0,0,5
35,70,0.59999999999999998,1073,249,620,350,23,1-4-0,0,5
36,226,0.40000000000000002,1187,197,640,450,2,1-4-0,0,5
37,322,0.40000000000000002,1176,140,620,350,16,1-4-0,0,5
38,107,0.40000000000000002,1081,196,520,400,6,1-4-0,0,5
39,6493,0.40000000000000002,1012,267,580,300,12,1-4-0,0,5
40,2137,,1066,208,560,400,26,0-5-0,0,5
41,245,,1047,199,520,400,12,0-5-0,0,5
42,5502,,925,193,520,200,5,0-5-0,0,5
43,2834,,878,136,500,300,3,0-5-0,0,5
44,5612,,870,125,500,300,0,0-5-0,0,5
