Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,74,20.00,350.00,385.00,240.00,535.00,10-2-0,0,12
2,4967,20.00,290.00,440.00,180.00,383.00,10-2-0,0,12
3,3658,20.00,200.00,305.00,130.00,638.00,10-2-0,0,12
4,1918,18.00,280.00,455.00,200.00,508.00,9-3-0,0,12
5,2054,17.00,270.00,360.00,150.00,608.00,8-3-1,0,12
6,3452,16.00,210.00,488.00,160.00,431.00,8-4-0,0,12
7,4003,16.00,210.00,306.00,130.00,296.00,8-4-0,0,12
8,3656,16.00,170.00,471.00,80.00,432.00,8-4-0,0,12
9,4377,16.00,170.00,392.00,100.00,229.00,8-4-0,0,12
10,858,16.00,130.00,371.00,110.00,610.00,8-4-0,0,12
11,3234,15.00,230.00,376.00,150.00,374.00,7-4-1,0,12
12,830,15.00,170.00,442.00,140.00,402.00,7-4-1,0,12
13,4325,15.00,170.00,387.00,150.00,309.00,7-4-1,0,12
14,2611,15.00,140.00,226.00,140.00,465.00,7-4-1,0,12
15,4568,14.00,320.00,271.00,40.00,355.00,7-5-0,0,12
16,1025,14.00,220.00,381.00,100.00,282.00,7-5-0,0,12
17,5256,14.00,160.00,216.00,60.00,527.00,7-5-0,0,12
18,5248,14.00,150.00,311.00,130.00,476.00,7-5-0,0,12
19,2767,14.00,60.00,385.00,100.00,534.00,7-5-0,0,12
20,4395,12.00,210.00,343.00,100.00,132.00,6-6-0,0,12
21,4956,12.00,210.00,301.00,60.00,345.00,6-6-0,0,12
22,4483,12.00,100.00,272.00,60.00,660.00,6-6-0,0,12
23,2771,11.00,170.00,356.00,40.00,561.00,5-6-1,0,12
24,4216,10.00,300.00,329.00,50.00,205.00,5-7-0,0,12
25,4327,10.00,290.00,320.00,110.00,262.00,5-7-0,0,12
26,4004,10.00,220.00,243.00,120.00,176.00,5-7-0,0,12
27,5161,10.00,100.00,225.00,100.00,245.00,5-7-0,0,12
28,4381,10.00,90.00,191.00,60.00,585.00,5-7-0,0,12
29,5152,8.00,130.00,201.00,120.00,366.00,4-8-0,0,12
30,5204,8.00,120.00,293.00,70.00,202.00,4-8-0,0,12
31,1677,8.00,100.00,155.00,100.00,214.00,4-7-0,1,12
32,4453,8.00,70.00,235.00,20.00,437.00,4-8-0,0,12
33,5194,8.00,70.00,224.00,40.00,398.00,4-8-0,0,12
34,4408,6.00,110.00,206.00,50.00,448.00,3-9-0,0,12
35,5205,6.00,110.00,182.00,60.00,370.00,3-9-0,0,12
36,1528,6.00,80.00,251.00,60.00,346.00,3-9-0,0,12
37,1896,6.00,40.00,165.00,50.00,261.00,3-9-0,0,12
38,5227,4.00,230.00,253.00,80.00,336.00,2-10-0,0,12
39,4482,4.00,110.00,291.00,100.00,133.00,2-10-0,0,12
40,4368,4.00,90.00,168.00,50.00,369.00,2-10-0,0,12
