Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,2081,11,0,0,11,22.00,25.36
2,234,10,1,0,11,20.00,25.36
3,1501,9,2,0,11,18.00,15.63
4,292,8,3,0,11,16.00,24.18
5,3176,8,3,0,11,16.00,14.18
6,1741,7,3,1,11,15.00,15.81
7,829,7,4,0,11,14.00,25.00
8,538,6,3,2,11,14.00,22.72
9,2867,7,4,0,11,14.00,18.81
10,3865,7,4,0,11,14.00,15.00
11,1018,6,4,1,11,13.00,24.72
12,447,6,4,1,11,13.00,19.09
13,1720,6,4,1,11,13.00,17.54
14,3559,6,4,1,11,13.00,14.27
15,1024,6,5,0,11,12.00,21.81
16,1756,5,4,2,11,12.00,19.00
17,1747,5,4,2,11,12.00,15.27
18,1646,6,5,0,11,12.00,14.63
19,3186,6,5,0,11,12.00,11.54
20,3487,5,5,1,11,11.00,14.18
21,45,5,5,1,11,11.00,10.63
22,3301,5,4,1,10,11.00,5.18
23,554,4,5,2,11,10.00,20.81
24,451,4,5,2,11,10.00,15.90
25,2909,4,5,2,11,10.00,13.63
26,1529,5,6,0,11,10.00,11.81
27,461,5,6,0,11,10.00,10.72
28,1760,4,6,1,11,9.00,13.09
29,2856,4,6,1,11,9.00,9.54
30,1000,3,6,2,11,8.00,20.63
31,3272,3,5,2,10,8.00,15.09
32,2171,4,7,0,11,8.00,12.90
33,2040,3,7,1,11,7.00,14.54
34,868,3,8,0,11,6.00,23.72
35,2197,2,5,2,9,6.00,18.00
36,3565,2,5,2,9,6.00,17.09
37,3180,2,7,2,11,6.00,17.00
38,1555,3,8,0,11,6.00,12.54
39,2783,2,8,1,11,5.00,15.36
40,3814,2,6,1,9,5.00,10.81
41,3259,2,8,0,10,4.00,6.45
