Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1501,22.00,290.00,590.00,240.00,282.00,11-0-0,0,11
2,4256,18.00,280.00,482.00,200.00,300.00,9-2-0,0,11
3,1706,16.00,380.00,467.00,260.00,124.00,8-3-0,0,11
4,3284,16.00,280.00,442.00,300.00,312.00,8-3-0,0,11
5,1985,16.00,260.00,573.00,220.00,259.00,8-3-0,0,11
6,279,16.00,260.00,369.00,170.00,193.00,8-3-0,0,11
7,931,16.00,250.00,472.00,150.00,181.00,8-3-0,0,11
8,1288,16.00,230.00,477.00,230.00,317.00,8-3-0,0,11
9,2978,14.00,200.00,449.00,180.00,213.00,7-4-0,0,11
10,4329,14.00,190.00,521.00,150.00,180.00,7-4-0,0,11
11,3792,14.00,170.00,375.00,170.00,269.00,7-4-0,0,11
12,1658,14.00,110.00,631.00,220.00,147.00,7-4-0,0,11
13,1329,13.00,230.00,470.00,150.00,167.00,6-4-1,0,11
14,1208,12.00,210.00,447.00,200.00,209.00,6-5-0,0,11
15,2838,12.00,200.00,482.00,100.00,346.00,6-5-0,0,11
16,4931,12.00,190.00,287.00,190.00,155.00,6-5-0,0,11
17,4187,12.00,190.00,259.00,110.00,155.00,6-5-0,0,11
18,4500,12.00,180.00,212.00,100.00,316.00,6-5-0,0,11
19,4028,12.00,170.00,461.00,170.00,209.00,6-5-0,0,11
20,3330,12.00,170.00,304.00,150.00,237.00,6-5-0,0,11
21,4600,12.00,150.00,304.00,120.00,219.00,6-5-0,0,11
22,1094,10.00,260.00,404.00,250.00,207.00,5-6-0,0,11
23,3397,10.00,210.00,328.00,160.00,198.00,5-6-0,0,11
24,5176,10.00,170.00,341.00,130.00,357.00,5-6-0,0,11
25,4154,10.00,160.00,389.00,110.00,191.00,5-6-0,0,11
26,4404,10.00,160.00,322.00,130.00,262.00,5-6-0,0,11
27,2665,10.00,150.00,287.00,130.00,175.00,5-6-0,0,11
28,3868,10.00,130.00,301.00,80.00,192.00,5-6-0,0,11
29,4156,10.00,100.00,400.00,140.00,166.00,5-6-0,0,11
30,4356,9.00,160.00,428.00,70.00,161.00,4-6-1,0,11
31,2902,9.00,130.00,392.00,110.00,112.00,4-6-1,0,11
32,5060,9.00,130.00,316.00,140.00,130.00,4-6-1,0,11
33,4232,8.00,190.00,311.00,110.00,224.00,4-7-0,0,11
34,4314,8.00,170.00,271.00,110.00,193.00,4-7-0,0,11
35,5326,8.00,160.00,363.00,100.00,115.00,4-7-0,0,11
36,4331,8.00,120.00,330.00,160.00,106.00,4-7-0,0,11
37,5147,8.00,120.00,309.00,150.00,179.00,4-7-0,0,11
38,3885,7.00,130.00,333.00,90.00,124.00,3-7-1,0,11
39,5002,6.00,180.00,322.00,100.00,67.00,3-8-0,0,11
40,4330,6.00,120.00,364.00,90.00,59.00,3-8-0,0,11
41,4246,6.00,110.00,322.00,140.00,140.00,3-8-0,0,11
42,1444,6.00,100.00,268.00,50.00,186.00,3-8-0,0,11
43,1178,6.00,90.00,386.00,60.00,89.00,3-8-0,0,11
44,2783,5.00,100.00,289.00,80.00,109.00,2-8-1,0,11
45,2408,4.00,190.00,322.00,130.00,112.00,2-9-0,0,11
