Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,67,3.28,545,273,1857,215,6-1-0,0,7
2,1684,3.14,440,333,2045,155,6-1-0,0,7
3,4381,3.14,415,303,2032,245,7-0-0,0,7
4,2834,3,525,282,1797,225,6-1-0,0,7
5,5460,3,465,232,1904,170,7-0-0,0,7
6,302,2.71,505,284,1790,210,5-2-0,0,7
7,3667,2.71,470,256,1597,260,5-2-0,0,7
8,503,2.57,400,303,1577,205,5-2-0,0,7
9,2337,2.42,525,293,1821,230,4-3-0,0,7
10,217,2.42,385,257,1856,215,6-1-0,0,7
11,245,2.28,495,190,1387,195,4-3-0,0,7
12,33,2.28,465,262,1561,240,4-3-0,0,7
13,2145,2.28,360,235,1409,135,4-3-0,0,7
14,27,2.14,490,243,1572,210,5-2-0,0,7
15,51,2.14,390,246,1464,200,4-3-0,0,7
16,548,2.14,350,229,1654,245,5-2-0,0,7
17,5114,2.14,350,200,1528,145,5-2-0,0,7
18,3322,1.85,415,259,1606,235,4-3-0,0,7
19,894,1.85,410,225,1371,170,4-3-0,0,7
20,1322,1.71,450,205,1517,225,3-4-0,0,7
21,3534,1.71,385,267,1492,245,2-5-0,0,7
22,3656,1.71,385,220,1108,175,3-4-0,0,7
23,703,1.71,360,200,1462,220,3-4-0,0,7
24,5436,1.57,380,213,1359,220,3-4-0,0,7
25,494,1.57,250,225,1158,95,3-4-0,0,7
26,5660,1.42,390,193,1283,180,4-3-0,0,7
27,70,1.42,360,197,1281,210,3-4-0,0,7
28,5907,1.42,355,190,1280,205,2-5-0,0,7
29,5167,1.42,295,188,1210,185,3-4-0,0,7
30,5053,1.42,235,202,1256,105,3-4-0,0,7
31,2960,1.28,290,223,1207,180,2-5-0,0,7
32,1506,1.14,305,237,1346,175,1-6-0,0,7
33,862,1.14,280,233,1193,185,2-5-0,0,7
34,2137,1.14,270,191,897,110,1-6-0,0,7
35,322,1.14,270,190,1171,85,2-5-0,0,7
36,5502,1,350,210,1057,165,1-6-0,0,7
37,5612,1,330,186,1153,180,2-5-0,0,7
38,4779,1,300,233,1200,175,1-6-0,0,7
39,314,0.71,295,191,921,120,1-6-0,0,7
40,4362,0.57,240,160,951,170,1-6-0,0,7
41,830,0.57,180,175,771,90,1-6-0,0,7
