Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,2959,24.00,418.00,230.00,553.00,12-0-0,0,12
2,2474,22.00,472.00,130.00,502.00,11-1-0,0,12
3,2000,22.00,400.00,270.00,539.00,11-1-0,0,12
4,468,20.00,310.00,210.00,257.00,10-2-0,0,12
5,27,16.00,292.00,90.00,547.00,8-4-0,0,12
6,4237,15.00,258.00,90.00,281.00,7-4-1,0,12
7,2611,14.00,346.00,280.00,262.00,7-5-0,0,12
8,1711,14.00,318.00,210.00,378.00,7-5-0,0,12
9,3572,14.00,306.00,160.00,269.00,7-5-0,0,12
10,3688,14.00,268.00,200.00,370.00,7-5-0,0,12
11,4391,14.00,258.00,210.00,282.00,7-5-0,0,12
12,4482,14.00,236.00,130.00,295.00,7-5-0,0,12
13,4855,14.00,200.00,130.00,254.00,7-5-0,0,12
14,2586,14.00,182.00,170.00,308.00,7-5-0,0,12
15,3458,14.00,142.00,90.00,205.00,7-5-0,0,12
16,4325,12.00,352.00,180.00,338.00,6-6-0,0,12
17,1596,12.00,292.00,170.00,262.00,6-6-0,0,12
18,2767,12.00,258.00,140.00,461.00,6-6-0,0,12
19,3620,12.00,224.00,160.00,283.00,6-6-0,0,12
20,3452,11.00,218.00,180.00,265.00,5-6-1,0,12
21,857,10.00,330.00,180.00,265.00,5-7-0,0,12
22,4408,10.00,244.00,190.00,148.00,5-7-0,0,12
23,1940,10.00,228.00,80.00,282.00,5-7-0,0,12
24,4409,10.00,224.00,200.00,279.00,5-7-0,0,12
25,453,10.00,210.00,270.00,179.00,5-7-0,0,12
26,2405,10.00,208.00,170.00,245.00,5-7-0,0,12
27,1896,10.00,178.00,100.00,129.00,5-7-0,0,12
28,4835,9.00,232.00,110.00,171.00,4-6-1,1,12
29,4216,8.00,316.00,170.00,235.00,4-8-0,0,12
30,1254,8.00,300.00,170.00,240.00,4-8-0,0,12
31,3602,8.00,250.00,180.00,342.00,4-8-0,0,12
32,3767,8.00,218.00,160.00,260.00,4-8-0,0,12
33,4389,8.00,164.00,170.00,217.00,4-8-0,0,12
34,4568,8.00,162.00,210.00,248.00,4-8-0,0,12
35,1528,7.00,246.00,110.00,202.00,3-8-1,0,12
36,4483,7.00,218.00,90.00,217.00,3-8-1,0,12
37,904,7.00,166.00,70.00,149.00,3-8-1,0,12
38,4337,6.00,148.00,110.00,222.00,3-8-0,1,12
39,3509,4.00,94.00,110.00,106.00,2-6-0,4,12
