Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2046,30.00,110.00,60.00,176.00,10,10-1-0,0,11
2,2471,26.00,112.00,60.00,105.00,10,8-3-0,0,11
3,2147,26.00,100.00,60.00,74.00,10,8-3-0,0,11
4,1294,25.00,89.00,60.00,74.00,10,7-3-1,0,11
5,1318,24.00,123.00,20.00,79.00,12,6-5-0,0,11
6,2522,24.00,64.00,30.00,115.00,10,7-4-0,0,11
7,360,23.00,118.00,70.00,66.00,9,7-4-0,0,11
8,3968,23.00,90.00,40.00,116.00,11,6-5-0,0,11
9,2929,23.00,87.00,50.00,39.00,7,8-3-0,0,11
10,1510,22.00,112.00,60.00,67.00,6,8-3-0,0,11
11,2605,22.00,89.00,70.00,98.00,8,7-4-0,0,11
12,3995,22.00,84.00,70.00,64.00,10,6-5-0,0,11
13,3662,22.00,62.00,70.00,49.00,8,7-4-0,0,11
14,3646,20.00,100.00,30.00,36.00,8,6-5-0,0,11
15,3711,20.00,77.00,70.00,35.00,6,7-4-0,0,11
16,3681,20.00,64.00,70.00,94.00,8,6-5-0,0,11
17,3786,20.00,45.00,50.00,58.00,8,6-5-0,0,11
18,3390,20.00,44.00,50.00,64.00,10,5-6-0,0,11
19,372,19.00,81.00,20.00,106.00,8,5-5-1,0,11
20,3221,18.00,95.00,40.00,107.00,8,5-6-0,0,11
21,2930,18.00,91.00,50.00,58.00,4,7-4-0,0,11
22,1258,18.00,87.00,70.00,61.00,4,7-4-0,0,11
23,2910,18.00,51.00,90.00,32.00,8,5-6-0,0,11
24,2374,17.00,98.00,10.00,51.00,6,5-5-1,0,11
25,2660,17.00,56.00,20.00,29.00,8,4-6-1,0,11
26,3825,17.00,54.00,20.00,53.00,5,6-5-0,0,11
27,4309,17.00,43.00,30.00,30.00,6,5-5-1,0,11
28,3663,17.00,38.00,30.00,41.00,8,4-6-1,0,11
29,949,16.00,75.00,0,62.00,8,4-7-0,0,11
30,3070,16.00,58.00,30.00,50.00,8,3-6-2,0,11
31,2555,16.00,56.00,10.00,40.00,8,4-6-0,1,11
32,948,15.00,91.00,60.00,43.00,2,6-4-1,0,11
33,4180,15.00,57.00,50.00,46.00,7,4-7-0,0,11
34,3268,15.00,28.00,60.00,47.00,8,3-7-1,0,11
35,4060,14.00,34.00,70.00,99.00,4,5-6-0,0,11
36,4105,14.00,29.00,50.00,26.00,6,4-7-0,0,11
37,3787,12.00,52.00,20.00,35.00,2,5-6-0,0,11
38,2976,12.00,51.00,50.00,58.00,6,3-8-0,0,11
39,2980,11.00,42.00,50.00,70.00,2,4-6-1,0,11
40,4131,11.00,38.00,40.00,57.00,1,5-6-0,0,11
41,492,10.00,84.00,60.00,52.00,2,4-7-0,0,11
42,3781,10.00,75.00,20.00,68.00,2,4-7-0,0,11
43,3286,10.00,55.00,50.00,52.00,2,4-7-0,0,11
44,3237,10.00,35.00,60.00,26.00,4,3-8-0,0,11
45,2905,9.00,69.00,20.00,41.00,4,2-8-1,0,11
46,3575,6.00,40.00,20.00,65.00,2,2-9-0,0,11
