Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,2875,12,114,45,93,250,4-0-0,0,4
2,353,12,92,50,59,225,4-0-0,0,4
3,329,10,74,55,94,225,3-1-0,0,4
4,5202,9,86,55,34,235,2-1-1,0,4
5,527,8,102,40,76,210,2-1-1,0,4
6,358,8,70,45,38,205,2-1-1,0,4
7,6423,8,62,40,32,200,2-1-1,0,4
8,2601,7,112,60,32,225,2-2-0,0,4
9,4006,7,96,55,53,195,2-2-0,0,4
10,870,7,92,80,37,205,1-1-2,0,4
11,2869,7,82,35,63,190,2-2-0,0,4
12,5659,7,82,35,19,210,1-2-1,0,4
13,3624,7,72,55,85,185,2-1-1,0,4
14,3950,7,52,50,38,190,1-1-2,0,4
15,5099,6,102,90,14,225,1-1-2,0,4
16,5736,6,84,35,46,205,1-1-2,0,4
17,263,6,66,35,28,220,1-3-0,0,4
18,2638,5,94,50,30,185,1-2-1,0,4
19,1546,5,78,50,30,185,1-3-0,0,4
20,1468,5,66,45,19,185,1-2-1,0,4
21,5016,4,100,50,48,185,1-2-1,0,4
22,810,4,92,55,39,220,1-3-0,0,4
23,2872,4,84,55,26,180,1-3-0,0,4
24,871,4,74,50,32,195,0-3-1,0,4
